"symbol","title","url","date","content","author","publish_time"
"ADC","ADC: Thay đổi nhân sự","https://vietstock.vn/2025/04/adc-thay-doi-nhan-su-214-1303507.htm","29/04/2025","ADC: Thay đổi nhân sự","",""
"ADC","ADC: Nghị quyết Đại hội đồng cổ đông thường niên năm 2025","https://vietstock.vn/2025/04/adc-nghi-quyet-dai-hoi-dong-co-dong-thuong-nien-nam-2025-737-1303580.htm","29/04/2025","ADC: Nghị quyết Đại hội đồng cổ đông thường niên năm 2025","",""
"ADC","ADC: Báo cáo tài chính quý 1/2025","https://vietstock.vn/2025/04/adc-bao-cao-tai-chinh-quy-1-2025-737-1300529.htm","24/04/2025","ADC: Báo cáo tài chính quý 1/2025","",""
"ADC","ADC: Báo cáo thường niên 2024","https://vietstock.vn/2025/04/adc-bao-cao-thuong-nien-2024-737-1290978.htm","03/04/2025","ADC: Báo cáo thường niên 2024","",""
"ADC","ADC: Tài liệu họp Đại hội đồng cổ đông","https://vietstock.vn/2025/04/adc-tai-lieu-hop-dai-hoi-dong-co-dong-737-1290101.htm","02/04/2025","ADC: Tài liệu họp Đại hội đồng cổ đông","",""
"ADC","ADC: Nghị quyết Hội đồng quản trị","https://vietstock.vn/2025/04/adc-nghi-quyet-hoi-dong-quan-tri-737-1290076.htm","02/04/2025","ADC: Nghị quyết Hội đồng quản trị
.","",""
"ADC","ADC: Báo cáo tài chính năm 2024","https://vietstock.vn/2025/03/adc-bao-cao-tai-chinh-nam-2024-737-1286991.htm","28/03/2025","ADC: Báo cáo tài chính năm 2024","",""
"ADC","ADC chốt quyền chia cổ tức bằng tiền tỷ lệ 15%","https://vietstock.vn/2025/03/adc-chot-quyen-chia-co-tuc-bang-tien-ty-le-15-738-1280848.htm","13/03/2025","ADC chốt quyền chia cổ tức bằng tiền tỷ lệ 15%
CTCP Mỹ thuật và Truyền thông (HNX:ADC) chốt ngày giao dịch không hưởng quyền 26/03 để tạm ứng cổ tức năm 2024 bằng tiền mặt và tham dự ĐHĐCĐ thường niên 2025.
Với tỷ lệ thực hiện 15% (1 cp được nhận 1,500 đồng) và gần 4 triệu cp đang lưu hành,ADCcần chi gần 6 tỷ đồng để tạm ứng cổ tức năm 2024. Thời gian thanh toán dự kiến từ 15/05.
[Chú thích ảnh]: Nguồn:VietstockFinance
Năm 2022 và 2023,ADCđều chia cổ tức bằng tiền cho cổ đông với tỷ lệ 15%. Năm 2024, Công ty cũng dự kiến duy trì mức cổ tức này. Như vậy, với đợt tạm ứng cổ tức sắp tới,ADCđã hoàn thành kế hoạch chia cổ tức năm 2024 với cổ đông.
[Chú thích ảnh]: Nguồn:VietstockFinance
Cập nhật đến ngày 23/03/2023,ADCcó 4 cổ đông lớn gồm Nhà Xuất bản Giáo dục Việt Nam nắm 37.4% vốn, ôngLê Hoàng Hải- Thành viên HĐQTADCnắm 10.3%, ôngPhạm Văn Thắng- Thành viên HĐQT kiêm Giám đốc nắm 7.1% và ôngPeter Eric Dennissở hữu 5.44%. Theo đó, 4 cổ đông lớn này có thể nhận về tổng cộng gần 3.6 tỷ đồng cổ tức từADC.
Năm 2024,ADCđạt 412 tỷ đồng doanh thu thuần và 14 tỷ đồng lãi ròng, lần lượt giảm 5% và 1% so với năm trước.
Mặc dù kết quả kinh doanh không giảm mạnh, Công ty vẫn không hoàn thành mục tiêu doanh thu và lợi nhuận năm đã đề ra.","Khang Di","08:08 13/03/2025"
"ADC","ADC: Ngày đăng ký cuối cùng Đại hội đồng cổ đông thường niên năm 2025. trả cổ tức bằng tiền mặt","https://vietstock.vn/2025/03/adc-ngay-dang-ky-cuoi-cung-dai-hoi-dong-co-dong-thuong-nien-nam-2025-tra-co-tuc-bang-tien-mat-737-1280647.htm","12/03/2025","ADC: Ngày đăng ký cuối cùng Đại hội đồng cổ đông thường niên năm 2025. trả cổ tức bằng tiền mặt
Thông báo ngày đăng ký cuối cùng lập danh sách cổ đông đối với cổ phiếuADCcủa Công ty cổ phần Mĩ thuật và Truyền thông như sau:1. Ngày đăng ký cuối cùng: 27/03/20252. Ngày giao dịch không hưởng quyền: 26/03/20253. Lý do và mục đích:* Đại hội đồng cổ đông thường niên năm 2025- Tỷ lệ phân bổ quyền: 1:1 (01 cổ phiếu - 01 quyền biểu quyết)- Thời gian họp: Dự kiến 25/04/2025- Địa điểm tổ chức họp: Dự kiến Tòa Diamond Flower, Lô đất C1 Khu đô thị Trung Hòa Nhân Chính, phường Nhân Chính, quận Thanh Xuân, thành phố Hà Nội.- Nội dung họp: Thông qua các nội dung thuộc Đại hội đồng cổ đông thường niên năm 2025.* Trả cổ tức bằng tiền:- Hình thức trả: Tạm ứng cổ tức bằng tiềnnăm 2024- Tỷ lệ thực hiện: 15%/cổ phiếu (01 cổ phiếu được nhận 1,500 đồng)- Thời gian thực hiện: 15/05/2025- Địa điểm thực hiện:+ Chứng khoán chưa lưu ký: Người sở hữu chứng khoán làm thủ tục nhận cổ tức tại trụ sở Công ty cổ phần Mĩ thuật và Truyền thông (vào các ngày làm việc trong tuần) bắt đầu từ ngày 15/05/2025 và xuất trình Căn cước công dân.+ Chứng khoán lưu ký: Người sở hữu chứng khoán làm thủ tục nhận cổ tức tại các Thành viên lưu ký (TVLK) nơi mở tài khoản lưu ký.","",""
"ADC","ADC: Nghị quyết Hội đồng quản trị","https://vietstock.vn/2025/03/adc-nghi-quyet-hoi-dong-quan-tri-737-1278942.htm","07/03/2025","ADC: Nghị quyết Hội đồng quản trị
.","",""
"ADC","ADC: Thông báo chốt danh sách thực hiện quyền ĐHCĐ thường niên 2025 và tạm ứng cổ tức năm 2024 bằng tiền mặt","https://vietstock.vn/2025/03/adc-thong-bao-chot-danh-sach-thuc-hien-quyen-dhcd-thuong-nien-2025-va-tam-ung-co-tuc-nam-2024-bang-tien-mat-738-1278944.htm","07/03/2025","ADC: Thông báo chốt danh sách thực hiện quyền ĐHCĐ thường niên 2025 và tạm ứng cổ tức năm 2024 bằng tiền mặt
.","",""
"ADC","ADC: Báo cáo tài chính quý 4/2024","https://vietstock.vn/2025/01/adc-bao-cao-tai-chinh-quy-4-2024-737-1266373.htm","24/01/2025","ADC: Báo cáo tài chính quý 4/2024","",""
"ADC","ADC: Báo cáo quản trị công ty năm 2024","https://vietstock.vn/2025/01/adc-bao-cao-quan-tri-cong-ty-nam-2024-737-1264557.htm","21/01/2025","ADC: Báo cáo quản trị công ty năm 2024","",""
"ADC","ADC: Nghị quyết Hội đồng quản trị","https://vietstock.vn/2025/01/adc-nghi-quyet-hoi-dong-quan-tri-737-1260910.htm","10/01/2025","ADC: Nghị quyết Hội đồng quản trị
.","",""
"ADC","ADC: Báo cáo tài chính quý 3/2024","https://vietstock.vn/2024/10/adc-bao-cao-tai-chinh-quy-3-2024-737-1239277.htm","23/10/2024","ADC: Báo cáo tài chính quý 3/2024","",""
"ADC","ADC: Nghị quyết Hội đồng quản trị","https://vietstock.vn/2024/10/adc-nghi-quyet-hoi-dong-quan-tri-737-1233365.htm","02/10/2024","ADC: Nghị quyết Hội đồng quản trị
.","",""
"ADC","ADC: Ông Đinh Gia Lê được bầu giữ chức Chủ tịch Hội đồng quản trị nhiệm kỳ 2023 - 2028 thay cho Ông Lê Hoàng Hải","https://vietstock.vn/2024/08/adc-ong-dinh-gia-le-duoc-bau-giu-chuc-chu-tich-hoi-dong-quan-tri-nhiem-ky-2023-2028-thay-cho-ong-le-hoang-hai-214-1220132.htm","16/08/2024","ADC: Ông Đinh Gia Lê được bầu giữ chức Chủ tịch Hội đồng quản trị nhiệm kỳ 2023 - 2028 thay cho Ông Lê Hoàng Hải","",""
"ADC","ADC: Báo cáo tài chính bán niên năm 2024","https://vietstock.vn/2024/08/adc-bao-cao-tai-chinh-ban-nien-nam-2024-737-1219735.htm","15/08/2024","ADC: Báo cáo tài chính bán niên năm 2024","",""
"ADC","ADC: Báo cáo tài chính quý 2/2024","https://vietstock.vn/2024/07/adc-bao-cao-tai-chinh-quy-2-2024-737-1211129.htm","24/07/2024","ADC: Báo cáo tài chính quý 2/2024","",""
"ADC","ADC: Bổ nhiệm lại Bà Nguyễn Thị Hồng Hạnh tiếp tục giữ chức vụ Phó Giám đốc","https://vietstock.vn/2024/07/adc-bo-nhiem-lai-ba-nguyen-thi-hong-hanh-tiep-tuc-giu-chuc-vu-pho-giam-doc-214-1208787.htm","18/07/2024","ADC: Bổ nhiệm lại Bà Nguyễn Thị Hồng Hạnh tiếp tục giữ chức vụ Phó Giám đốc","",""
"ADC","ADC: Báo cáo quản trị công ty bán niên 2024","https://vietstock.vn/2024/07/adc-bao-cao-quan-tri-cong-ty-ban-nien-2024-737-1208788.htm","18/07/2024","ADC: Báo cáo quản trị công ty bán niên 2024","",""
"ADC","ADC: Nghị quyết Hội đồng quản trị","https://vietstock.vn/2024/07/adc-nghi-quyet-hoi-dong-quan-tri-737-1205885.htm","09/07/2024","ADC: Nghị quyết Hội đồng quản trị
.","",""
"ADC","ADC: Công văn công bố thông tin ký hợp đồng kiểm toán năm 2023","https://vietstock.vn/2024/07/adc-cong-van-cong-bo-thong-tin-ky-hop-dong-kiem-toan-nam-2023-737-1205089.htm","05/07/2024","ADC: Công văn công bố thông tin ký hợp đồng kiểm toán năm 2023
.","",""
"ADC","ADC: Nghị quyết Hội đồng quản trị","https://vietstock.vn/2024/05/adc-nghi-quyet-hoi-dong-quan-tri-737-1194659.htm","31/05/2024","ADC: Nghị quyết Hội đồng quản trị
.","",""
