"symbol","title","url","date","content","author","publish_time"
"AME","AME: Báo cáo tài chính quý 1/2025 (công ty mẹ)","https://vietstock.vn/2025/04/ame-bao-cao-tai-chinh-quy-1-2025-cong-ty-me-737-1303551.htm","29/04/2025","AME: Báo cáo tài chính quý 1/2025 (công ty mẹ)","",""
"AME","AME: Báo cáo tài chính quý 1/2025","https://vietstock.vn/2025/04/ame-bao-cao-tai-chinh-quy-1-2025-737-1303283.htm","29/04/2025","AME: Báo cáo tài chính quý 1/2025","",""
"AME","AME: Báo cáo tình hình khắc phục tình trạng chứng khoán bị cảnh báo","https://vietstock.vn/2025/04/ame-bao-cao-tinh-hinh-khac-phuc-tinh-trang-chung-khoan-bi-canh-bao-830-1302474.htm","28/04/2025","AME: Báo cáo tình hình khắc phục tình trạng chứng khoán bị cảnh báo
.","",""
"AME","AME: Báo cáo biện pháp và lộ trình khắc phục tình trạng chứng khoán bị cảnh báo","https://vietstock.vn/2025/04/ame-bao-cao-bien-phap-va-lo-trinh-khac-phuc-tinh-trang-chung-khoan-bi-canh-bao-830-1300233.htm","23/04/2025","AME: Báo cáo biện pháp và lộ trình khắc phục tình trạng chứng khoán bị cảnh báo
.","",""
"AME","AME: Báo cáo thường niên 2024","https://vietstock.vn/2025/04/ame-bao-cao-thuong-nien-2024-737-1298885.htm","21/04/2025","AME: Báo cáo thường niên 2024","",""
"AME","AME: Nghị quyết Đại hội đồng cổ đông thường niên năm 2025","https://vietstock.vn/2025/04/ame-nghi-quyet-dai-hoi-dong-co-dong-thuong-nien-nam-2025-737-1298401.htm","21/04/2025","AME: Nghị quyết Đại hội đồng cổ đông thường niên năm 2025","",""
"AME","AME: Báo cáo tài chính năm 2024","https://vietstock.vn/2025/04/ame-bao-cao-tai-chinh-nam-2024-737-1289903.htm","02/04/2025","AME: Báo cáo tài chính năm 2024","",""
"AME","AME: Báo cáo tài chính năm 2024 (Công ty mẹ)","https://vietstock.vn/2025/04/ame-bao-cao-tai-chinh-nam-2024-cong-ty-me-737-1289894.htm","02/04/2025","AME: Báo cáo tài chính năm 2024 (Công ty mẹ)","",""
"AME","AME: Tài liệu họp Đại hội đồng cổ đông","https://vietstock.vn/2025/03/ame-tai-lieu-hop-dai-hoi-dong-co-dong-737-1288007.htm","31/03/2025","AME: Tài liệu họp Đại hội đồng cổ đông","",""
"AME","AME: Nghị quyết Hội đồng quản trị","https://vietstock.vn/2025/03/ame-nghi-quyet-hoi-dong-quan-tri-737-1284149.htm","21/03/2025","AME: Nghị quyết Hội đồng quản trị
.","",""
"AME","AME: Thay đổi giấy đăng ký kinh doanh","https://vietstock.vn/2025/03/ame-thay-doi-giay-dang-ky-kinh-doanh-737-1283024.htm","19/03/2025","AME: Thay đổi giấy đăng ký kinh doanh","",""
"AME","AME: Ngày đăng ký cuối cùng Đại hội đồng cổ đông thường niên năm 2025","https://vietstock.vn/2025/03/ame-ngay-dang-ky-cuoi-cung-dai-hoi-dong-co-dong-thuong-nien-nam-2025-737-1277461.htm","04/03/2025","AME: Ngày đăng ký cuối cùng Đại hội đồng cổ đông thường niên năm 2025
Thông báo ngày đăng ký cuối cùng lập danh sách cổ đông đối với cổ phiếuAMEcủa CTCP Alphanam E&C như sau:1. Ngày đăng ký cuối cùng: 21/03/20252. Ngày giao dịch không hưởng quyền: 20/03/20253. Lý do và mục đích:* Đại hội đồng cổ đông thường niên năm 2025- Tỷ lệ phân bổ quyền: 01 cổ phiếu – 01 quyền biểu quyết- Thời gian họp: Dự kiến ngày 17/04/2025- Địa điểm tổ chức họp: Dự kiến tại Khu công nghiệp Phố Nối A, xã Trưng Trắc, huyện Văn Lâm, tỉnh Hưng Yên, Việt Nam- Nội dung họp: Thảo luận và thông qua các vấn đề thuộc thẩm quyền của Đại hội đồng cổ đông thường niên năm 2025 theo quy định của pháp luật và Điều lệ công ty.","",""
"AME","AME: Ngày đăng ký cuối cùng để thực hiện quyền tham dự Đại hội đồng cổ đông thường niên 2025","https://vietstock.vn/2025/02/ame-ngay-dang-ky-cuoi-cung-de-thuc-hien-quyen-tham-du-dai-hoi-dong-co-dong-thuong-nien-2025-737-1275725.htm","27/02/2025","AME: Ngày đăng ký cuối cùng để thực hiện quyền tham dự Đại hội đồng cổ đông thường niên 2025
.","",""
