"symbol","title","url","date","content","author","publish_time"
"ARM","ARM: Báo cáo tài chính quý 1/2025","https://vietstock.vn/2025/04/arm-bao-cao-tai-chinh-quy-1-2025-737-1298576.htm","21/04/2025","ARM: Báo cáo tài chính quý 1/2025","",""
"ARM","ARM: Thông báo thay đổi thời gian tổ chức ĐHĐCĐTN năm 2025","https://vietstock.vn/2025/04/arm-thong-bao-thay-doi-thoi-gian-to-chuc-dhdcdtn-nam-2025-737-1298430.htm","21/04/2025","ARM: Thông báo thay đổi thời gian tổ chức ĐHĐCĐTN năm 2025
.","",""
"ARM","ARM: Tài liệu họp Đại hội đồng cổ đông","https://vietstock.vn/2025/04/arm-tai-lieu-hop-dai-hoi-dong-co-dong-737-1290059.htm","02/04/2025","ARM: Tài liệu họp Đại hội đồng cổ đông","",""
"ARM","ARM: Báo cáo thường niên 2024","https://vietstock.vn/2025/03/arm-bao-cao-thuong-nien-2024-737-1282091.htm","17/03/2025","ARM: Báo cáo thường niên 2024","",""
"ARM","ARM: Ngày đăng ký cuối cùng Đại hội đồng cổ đông thường niên năm 2025","https://vietstock.vn/2025/03/arm-ngay-dang-ky-cuoi-cung-dai-hoi-dong-co-dong-thuong-nien-nam-2025-737-1280648.htm","12/03/2025","ARM: Ngày đăng ký cuối cùng Đại hội đồng cổ đông thường niên năm 2025
Thông báo ngày đăng ký cuối cùng lập danh sách cổ đông đối với cổ phiếuARMcủa CTCP Xuất nhập khẩu hàng không như sau:1. Ngày đăng ký cuối cùng: 28/03/20252. Ngày giao dịch không hưởng quyền: 27/03/20253. Lý do và mục đích:* Đại hội đồng cổ đông thường niên năm 2025- Tỷ lệ phân bổ quyền: 01 cổ phiếu – 01 quyền biểu quyết- Thời gian họp: Công ty sẽ thông báo sau- Địa điểm tổ chức họp: Công ty sẽ thông báo sau- Nội dung họp: + Báo cáo của Hội đồng quản trị (HĐQT) về kết quả hoạt động sản xuất kinh doanh năm 2024 và kế hoạch sản xuất kinh doanh năm 2025.+ Báo cáo Tài chính năm 2024 đã được kiểm toán.+ Báo cáo hoạt động của Ban kiểm soát (BKS).+ Phương án phân chia lợi nhuận, trích lập các quỹ và chia cổ tức năm 2024.+ Thực hiện chi thù lao cho thành viên HĐQT, BKS năm 2024 và đề nghị mức chi thù lao cho thành viên HĐQT, BKS năm 2025.+ Một số nội dung khác thuộc thẩm quyền quyết định của Đại hội đồng cổ đông.","",""
"ARM","ARM: Thông báo về ngày đăng ký cuối cùng để thực hiện quyền tham dự ĐHĐCĐTN năm 2025","https://vietstock.vn/2025/03/arm-thong-bao-ve-ngay-dang-ky-cuoi-cung-de-thuc-hien-quyen-tham-du-dhdcdtn-nam-2025-737-1278940.htm","07/03/2025","ARM: Thông báo về ngày đăng ký cuối cùng để thực hiện quyền tham dự ĐHĐCĐTN năm 2025
.","",""
"ARM","ARM: Báo cáo tài chính năm 2024","https://vietstock.vn/2025/03/arm-bao-cao-tai-chinh-nam-2024-737-1278046.htm","05/03/2025","ARM: Báo cáo tài chính năm 2024","",""
"ARM","ARM: Báo cáo quản trị công ty năm 2024","https://vietstock.vn/2025/02/arm-bao-cao-quan-tri-cong-ty-nam-2024-737-1268270.htm","04/02/2025","ARM: Báo cáo quản trị công ty năm 2024","",""
"ARM","ARM: Báo cáo tài chính quý 4/2024","https://vietstock.vn/2025/01/arm-bao-cao-tai-chinh-quy-4-2024-737-1265532.htm","23/01/2025","ARM: Báo cáo tài chính quý 4/2024","",""
"ARM","ARM: Thay đổi giấy đăng ký kinh doanh","https://vietstock.vn/2025/01/arm-thay-doi-giay-dang-ky-kinh-doanh-737-1261885.htm","14/01/2025","ARM: Thay đổi giấy đăng ký kinh doanh","",""
"ARM","ARM: CBTT về việc ký tiếp hợp đồng dịch vụ làm kiểm toán nội bộ đối với Bà Đỗ Thu Hằng","https://vietstock.vn/2024/12/arm-cbtt-ve-viec-ky-tiep-hop-dong-dich-vu-lam-kiem-toan-noi-bo-doi-voi-ba-do-thu-hang-214-1250464.htm","05/12/2024","ARM: CBTT về việc ký tiếp hợp đồng dịch vụ làm kiểm toán nội bộ đối với Bà Đỗ Thu Hằng","",""
"ARM","ARM: Bổ nhiệm lại Ông Nguyễn Thế Đắc giữ chức Kế toán trưởng kiêm Trưởng phòng Tài chính kế toán","https://vietstock.vn/2024/12/arm-bo-nhiem-lai-ong-nguyen-the-dac-giu-chuc-ke-toan-truong-kiem-truong-phong-tai-chinh-ke-toan-214-1249864.htm","03/12/2024","ARM: Bổ nhiệm lại Ông Nguyễn Thế Đắc giữ chức Kế toán trưởng kiêm Trưởng phòng Tài chính kế toán","",""
