"symbol","title","url","date","content","author","publish_time"
"BSC","BSC: Nghị quyết Hội đồng quản trị","https://vietstock.vn/2025/04/bsc-nghi-quyet-hoi-dong-quan-tri-737-1300643.htm","24/04/2025","BSC: Nghị quyết Hội đồng quản trị
.","",""
"BSC","BSC: Báo cáo tài chính quý 1/2025","https://vietstock.vn/2025/04/bsc-bao-cao-tai-chinh-quy-1-2025-737-1299522.htm","22/04/2025","BSC: Báo cáo tài chính quý 1/2025","",""
"BSC","BSC lên kế hoạch lãi trước thuế 560 tỷ đồng, tăng vốn lên gần 2,500 tỷ đồng","https://vietstock.vn/2025/03/bsc-len-ke-hoach-lai-truoc-thue-560-ty-dong-tang-von-len-gan-2500-ty-dong-737-1287012.htm","28/03/2025","BSC lên kế hoạch lãi trước thuế 560 tỷ đồng, tăng vốn lên gần 2,500 tỷ đồng
CTCP Chứng khoán BIDV (HOSE: BSI) có kế hoạch tổ chức ĐHĐCĐ thường niên năm 2025 vào sáng ngày 18/04/2025 tại TP. Hà Nội, dự kiến thông qua kế hoạch lãi trước thuế 560 tỷ đồng, bên cạnh việc tăng vốn lên gần 2,500 tỷ đồng thông qua trả cổ tức năm 2024 bằng cổ phiếu.
Nhìn về năm 2025, Ban lãnh đạo BSC đưa ra nhiều yếu tố thuận lợi và rủi ro tác động tới ngành chứng khoán.
Các yếu tố thuận lợi bao gồm (1) động lực từ cuộc cách mạng “thể chế, nhân lực, kết cấu” đang tạo ra nền móng vững chắc cho sự phát triển kinh tế, nâng cao sức hấp dẫn của thị trường; (2) đà hồi phục kinh tế vĩ mô và môi trường lãi suất thấp tạo điều kiện cho dòng vốn vào thị trường; (3) triển vọng nâng hạng, với việc Việt Nam từng bước giải quyết các vấn đề còn tồn tại nhằm đáp ứng tiêu chí nâng hạng từ thị trường Cận biên lên Mới nổi của FTSE.
Tuy nhiên, còn nhiều rủi ro mà thị trường phải đối mặt, như (1) diễn biến khó lường về xung đột địa chính trị giữa các khu vực, đặc biệt ở Trung Đông; (2) rủi ro bất định đối với chính sách về thương mại của Tổng thống Mỹ Donald Trump đối đối với Việt Nam; (3) cạnh tranh về thị phần sẽ ngày càng gay gắt hơn, phí giao dịch sẽ tiếp tục giảm dần theo xu hướng Zero-fee; (4) áp lực gia tăng tỷ giá trong bối cảnh duy trì nền lãi suất thấp tiếp tục là rào cản gia nhập lại thị trường của dòng vốn ngoại.
Dự kiến tại đại hội sắp tới sẽ xem xét thông qua kế hoạch kinh doanh năm 2025 với lãi trước thuế 560 tỷ đồng, tăng gần 9% so với thực hiện năm 2024. Bên cạnh đó, Công ty cũng đặt mục tiêu tỷ lệ vốn khả dụng đạt từ 260%.
Quay về thời điểm ĐHĐCĐ thường niên diễn ra một năm trước, kế hoạch kinh doanh năm 2024 đã được thông qua với 550 tỷ đồng lãi trước thuế và hệ số an toàn tài chính từ 260%. Kết quả Công ty mang về gần 516 tỷ đồng lãi trước thuế, tương ứng thực hiện 94% kế hoạch, trong khi vượt mục tiêu hệ số an toàn tài chính với mức 690%.
[Chú thích ảnh]: Nguồn: VietstockFinance
Với gần 779 tỷ đồng lợi nhuận có thể phân phối tại thời điểm 31/12/2024, HĐQT BSC sẽ trình ĐHĐCĐ về kế hoạch chia cổ tức bằng cổ phiếu theo tỷ lệ 10%, quy mô hơn 223 tỷ đồng.
Cụ thể, BSC sẽ phát hành hơn 22.3 triệu cp cho cổ đông hiện hữu, tương ứng cổ đông sở hữu 10 cp sẽ được nhận 1 cp mới. Toàn bộ hơn 223 tỷ đồng thu về sẽ được phục vụ cho nhu cầu phát triển kinh doanh của Công ty. Đợt phát hành dự kiến thực hiện trong năm 2025, giúp Công ty tăng vốn điều lệ từ gần 2,231 tỷ đồng lên 2,454 tỷ đồng.
[Chú thích ảnh]: Nguồn: VietstockFinance
Cho năm 2025, HĐQT BSC đề xuất kế hoạch chia trả cổ tức cũng theo tỷ lệ 10%, hình thức bằng tiền mặt và/hoặc cổ phiếu.
[Chú thích ảnh]: Bà Kang Hee Joung
Đại hội cũng sẽ được trình nội dung miễn nhiệm vị trí thành viên BKS nhiệm kỳ 2021-2026 của bà Kang Hee Joung kể từ ngày 18/04/2025. Được biêt, bà Kang Hee Joung đã nộp đơn từ nhiệm vào ngày 07/02/2025 vì lý do cá nhân. Theo chiều ngược lại, đại hội sẽ tổ chức bầu trực tiếp người thay thế.
Bà Kang Hee Joung có quốc tịch Hàn Quốc, bắt đầu đảm nhận vai trò thành viên BKS tại BSC từ tháng 4/2023.
Theo BCQT năm 2024, tại thời điểm 31/12/2024, bà còn giữ vai trò tại khác Công ty Chứng khoán Hana - cổ đông lớn nhất của BSC với sở hữu 35.01% vốn. Chứng khoán Hana cũng là nơi bà Kang Hee Joung đảm nhiệm nhiều vai trò quan trọng từ tháng 2/2002.","Huy Khải","12:01 28/03/2025"
"BSC","BSC: Nghị quyết Đại hội đồng cổ đông thường niên năm 2025","https://vietstock.vn/2025/03/bsc-nghi-quyet-dai-hoi-dong-co-dong-thuong-nien-nam-2025-737-1284763.htm","24/03/2025","BSC: Nghị quyết Đại hội đồng cổ đông thường niên năm 2025","",""
"BSC","BSC: Báo cáo thường niên 2024","https://vietstock.vn/2025/03/bsc-bao-cao-thuong-nien-2024-737-1276699.htm","03/03/2025","BSC: Báo cáo thường niên 2024","",""
"BSC","Dịch vụ Bến Thành đặt mục tiêu tăng trưởng mạnh sau năm đi lùi","https://vietstock.vn/2025/02/dich-vu-ben-thanh-dat-muc-tieu-tang-truong-manh-sau-nam-di-lui-737-1274814.htm","25/02/2025","Dịch vụ Bến Thành đặt mục tiêu tăng trưởng mạnh sau năm đi lùi
CTCP Dịch vụ Bến Thành (BTSC,HNX:BSC), thành viên thuộc Benthanh Group, vừa công bố tài liệu họp ĐHĐCĐ thường niên 2025.BSCdự kiến trình đại hội thông qua các chỉ tiêu doanh thu và lợi nhuận tăng trưởng đáng kể so với thực hiện 2024.
Cụ thể,BSCdự kiến doanh thu năm 2025 đạt hơn 19 tỷ đồng, tăng 45% so với thực hiện 2024; kế hoạch lãi trước thuế hơn 3 tỷ đồng, tăng 10%.
[Chú thích ảnh]: Nguồn:BSC
Kế hoạch được đưa ra trong bối cảnh kết quả năm 2024 sụt giảm so với năm trước đó. Cụ thể, dù doanh thu 2024 đạt hơn 11 tỷ đồng, tăng 45%, nhưng lợi nhuận ròng đi lùi gần 19% còn gần 2.2 tỷ đồng. Nguyên nhân do giảm doanh thu hoạt động tài chính (lãi suất và tiền gửi giảm), trong khi chi phí tài chính tăng vì trích lập dự phòng cho dự án Vĩnh Lộc - Bến Thành.
Để đạt mục tiêu,BSCcho biết sẽ chú trọng khai thác các mặt bằng, sạp chợ mà Doanh nghiệp đang quản lý, đồng thời xúc tiến các ngành dịch vụ như vệ sinh công nghiệp; lắp đặt hệ thống điện mặt trời, vận hành - vệ sinh tấm pin; bảo trì máy lạnh; tư vấn, cải tạo, thi công xây dựng; lắp đặt, bảo trì hệ thống camera quan sát.
Bên cạnh đó,BSCsẽ tiếp tục tìm kiếm các đối tác có năng lực, kinh nghiệm, phù hợp với định hướng Công ty. Ngoài ra,BSCsẽ tăng cường quản trị tài chính, cơ cấu chi phí phù hợp, sử dụng vốn hiệu quả. Đặc biệt, Công ty sẽ hỗ trợ ban điều hành CTCP Dịch vụ Vĩnh Lộc Bến Thành hoàn thành sớm dự án Nhà hàng tiệc cưới Trung tâm hội nghị Vĩnh Lộc, qua đó đưa vào khai thác kinh doanh.
Về thù lao ban lãnh đạo,BSCdự trình ĐHĐCĐ thông qua mức 492 triệu đồng/năm cho  các thành viên HĐQT và BKS. Trong đó, thù lao cho HĐQT được giữ nguyên 360 triệu đồng/năm, trong khi thù lao BKS tăng nhẹ lên 132 triệu đồng (năm 2024 là 124 triệu đồng). Hiện tại, ban lãnh đạoBSCgồm 9 người, trong đó có 6 thành viên HĐQT (bao gồm Chủ tịch HĐQTLê Văn Hùng) và 3 thành viên BKS.
Đối với cổ tức, Doanh nghiệp dự trình mức chi trả cho năm 2024 là 10%, tương ứng thực chi hơn 3.1 tỷ đồng. Năm 2025, mức cổ tức dự kiến là 5%.
Ngoài ra, Doanh nghiệp dự kiến bổ sung thêm 2 ngành nghề kinh doanh, gồm Dịch vụ đóng gói (trừ thuốc bảo vệ thực vật) và Bốc xếp hàng hóa (trừ hàng hóa cảng hàng không).
ĐHĐCĐ thường niên 2025 củaBSCdự kiến tổ chức vào 8h sáng ngày 21/03/2025 tại Nhà hàng Hoa Viên Tri Kỷ ở đường Hồng Hà, P.9, Q. Phú Nhuận, TPHCM.
BSCtiền thân là Công ty Thương mại Dịch vụ Bến Thành, được thành lập năm 2003. Lĩnh vực hoạt động chính của Công ty là mua bán các mặt hàng gia dụng, lương thực, thực phẩm, lâm sản, thủy sản, hàng thủ công mỹ nghệ; mua bán máy móc, thiết bị phụ tùng, vật tư ngành công nông nghiệp, hóa chất, nguyên vật liệu ngành xây dựng; kinh doanh dịch vụ vận tải.
BSChiện nằm trong hệ sinh thái của Benthanh Group (Tổng Công ty Bến Thành). Benthanh Group đang là cổ đông lớn nhất củaBTT(Thương mại Dịch vụ Bến Thành) - đơn vị đang nắm quyền kinh doanh tại Chợ Bến Thành, TPHCM.","Châu An","14:38 25/02/2025"
"BSC","BSC: Giải trình chênh lệch LNST so với cùng kỳ năm 2023","https://vietstock.vn/2025/02/bsc-giai-trinh-chenh-lech-lnst-so-voi-cung-ky-nam-2023-830-1274825.htm","25/02/2025","BSC: Giải trình chênh lệch LNST so với cùng kỳ năm 2023
.","",""
"BSC","BSC: Báo cáo tài chính năm 2024","https://vietstock.vn/2025/02/bsc-bao-cao-tai-chinh-nam-2024-737-1274824.htm","25/02/2025","BSC: Báo cáo tài chính năm 2024","",""
"BSC","BSC: Tài liệu họp Đại hội đồng cổ đông","https://vietstock.vn/2025/02/bsc-tai-lieu-hop-dai-hoi-dong-co-dong-737-1274726.htm","25/02/2025","BSC: Tài liệu họp Đại hội đồng cổ đông","",""
"BSC","BSC: Ngày đăng ký cuối cùng Đại hội đồng cổ đông thường niên năm 2025","https://vietstock.vn/2025/01/bsc-ngay-dang-ky-cuoi-cung-dai-hoi-dong-co-dong-thuong-nien-nam-2025-737-1266290.htm","24/01/2025","BSC: Ngày đăng ký cuối cùng Đại hội đồng cổ đông thường niên năm 2025
Thông báo ngày đăng ký cuối cùng lập danh sách cổ đông đối với cổ phiếuBSCcủa CÔNG TY CP DỊCH VỤ BẾN THÀNH như sau:1. Ngày đăng ký cuối cùng: 12/02/20252. Ngày giao dịch không hưởng quyền: 11/02/20253. Lý do và mục đích:* Đại hội đồng cổ đông thường niên năm 2025- Tỷ lệ phân bổ quyền: 1:1 (01 cổ phiếu – 01 quyền biểu quyết)- Thời gian họp: Thứ sáu, ngày 21/03/2025- Địa điểm tổ chức họp: Dự kiến Phòng Hội nghị Hoa viên Tri Kỷ - 123 Hồng Hà, Phường 9. Quận Phú Nhuận,TP.HCM- Nội dung họp: Đại hội đồng cổ đông thường niên năm 2025 của Công ty Cổ phần Dịch vụ Bến Thành","",""
