"symbol","title","url","date","content","author","publish_time"
"CKV","CKV: Thay đổi nhân sự","https://vietstock.vn/2025/05/ckv-thay-doi-nhan-su-214-1305389.htm","06/05/2025","CKV: Thay đổi nhân sự","",""
"CKV","CKV: Nghị quyết Đại hội đồng cổ đông thường niên năm 2025","https://vietstock.vn/2025/05/ckv-nghi-quyet-dai-hoi-dong-co-dong-thuong-nien-nam-2025-737-1305369.htm","06/05/2025","CKV: Nghị quyết Đại hội đồng cổ đông thường niên năm 2025","",""
"CKV","CKV: Quyết định HĐQT về việc thành lập Chi nhánh Công ty CP Cokyvina cung cấp dịch vụ viễn thông tại Tỉnh Thái Bình","https://vietstock.vn/2025/05/ckv-quyet-dinh-hdqt-ve-viec-thanh-lap-chi-nhanh-cong-ty-cp-cokyvina-cung-cap-dich-vu-vien-thong-tai-tinh-thai-binh-737-1304604.htm","05/05/2025","CKV: Quyết định HĐQT về việc thành lập Chi nhánh Công ty CP Cokyvina cung cấp dịch vụ viễn thông tại Tỉnh Thái Bình
.","",""
"CKV","CKV: Báo cáo tài chính quý 1/2025","https://vietstock.vn/2025/04/ckv-bao-cao-tai-chinh-quy-1-2025-737-1300455.htm","24/04/2025","CKV: Báo cáo tài chính quý 1/2025","",""
"CKV","CKV: Tài liệu họp Đại hội đồng cổ đông","https://vietstock.vn/2025/04/ckv-tai-lieu-hop-dai-hoi-dong-co-dong-737-1292881.htm","08/04/2025","CKV: Tài liệu họp Đại hội đồng cổ đông","",""
"CKV","CKV: Báo cáo thường niên 2024","https://vietstock.vn/2025/03/ckv-bao-cao-thuong-nien-2024-737-1283826.htm","20/03/2025","CKV: Báo cáo thường niên 2024","",""
"CKV","CKV: Báo cáo tài chính năm 2024","https://vietstock.vn/2025/03/ckv-bao-cao-tai-chinh-nam-2024-737-1282654.htm","18/03/2025","CKV: Báo cáo tài chính năm 2024","",""
"CKV","CKV: Ngày đăng ký cuối cùng Đại hội đồng cổ đông thường niên năm 2025","https://vietstock.vn/2025/03/ckv-ngay-dang-ky-cuoi-cung-dai-hoi-dong-co-dong-thuong-nien-nam-2025-737-1282026.htm","17/03/2025","CKV: Ngày đăng ký cuối cùng Đại hội đồng cổ đông thường niên năm 2025
Thông báo ngày đăng ký cuối cùng lập danh sách cổ đông đối với cổ phiếuCKVcủa CTCP COKYVINA như sau:1. Ngày đăng ký cuối cùng: 31/03/20252. Ngày giao dịch không hưởng quyền: 28/03/20253. Lý do và mục đích:* Đại hội đồng cổ đông thường niên năm 2025- Tỷ lệ phân bổ quyền: 1 cổ phiếu – 1 quyền biểu quyết- Thời gian họp: Công ty cổ phần Cokyvina sẽ thông báo trong Thư mời họp Đại hội đồng cổ đông thường niên năm 2025- Địa điểm tổ chức họp: Công ty cổ phần Cokyvina – Số 178 phố Triệu Việt Vương, phường Nguyễn Du, quận Hai Bà Trưng, TP. Hà Nội.- Nội dung họp: Công ty cổ phần Cokyvina sẽ thông báo sau.","",""
"CKV","CKV: Nghị quyết Hội đồng quản trị","https://vietstock.vn/2025/03/ckv-nghi-quyet-hoi-dong-quan-tri-737-1281234.htm","13/03/2025","CKV: Nghị quyết Hội đồng quản trị
.","",""
"CKV","CKV: Thông báo về ngày ĐKCC để thực hiện quyền tham dự ĐHĐCĐ thường niên năm 2025","https://vietstock.vn/2025/03/ckv-thong-bao-ve-ngay-dkcc-de-thuc-hien-quyen-tham-du-dhdcd-thuong-nien-nam-2025-737-1280855.htm","12/03/2025","CKV: Thông báo về ngày ĐKCC để thực hiện quyền tham dự ĐHĐCĐ thường niên năm 2025
.","",""
"CKV","CKV: Báo cáo quản trị công ty năm 2024","https://vietstock.vn/2025/01/ckv-bao-cao-quan-tri-cong-ty-nam-2024-737-1265980.htm","24/01/2025","CKV: Báo cáo quản trị công ty năm 2024","",""
"CKV","CKV: Báo cáo tài chính quý 4/2024","https://vietstock.vn/2025/01/ckv-bao-cao-tai-chinh-quy-4-2024-737-1265444.htm","23/01/2025","CKV: Báo cáo tài chính quý 4/2024","",""
"CKV","CKV: Quyết định của HĐQT về việc chấm dứt hoạt động Chi nhánh Công ty Cổ phần Cokyvina cung cấp dịch vụ viễn thông tại tỉnh Điện Biên","https://vietstock.vn/2024/12/ckv-quyet-dinh-cua-hdqt-ve-viec-cham-dut-hoat-dong-chi-nhanh-cong-ty-co-phan-cokyvina-cung-cap-dich-vu-vien-thong-tai-tinh-dien-bien-737-1249357.htm","02/12/2024","CKV: Quyết định của HĐQT về việc chấm dứt hoạt động Chi nhánh Công ty Cổ phần Cokyvina cung cấp dịch vụ viễn thông tại tỉnh Điện Biên
.","",""
"CKV","CKV: Báo cáo tài chính quý 3/2024","https://vietstock.vn/2024/10/ckv-bao-cao-tai-chinh-quy-3-2024-737-1239288.htm","23/10/2024","CKV: Báo cáo tài chính quý 3/2024","",""
"CKV","CKV: Quyết định của HĐQT về việc chấm dứt hoạt động Chi nhánh Công ty Cổ phần Cokyvina cung cấp dịch vụ viễn thông tại tỉnh Gia Lai do hoạt động không có hiệu quả","https://vietstock.vn/2024/10/ckv-quyet-dinh-cua-hdqt-ve-viec-cham-dut-hoat-dong-chi-nhanh-cong-ty-co-phan-cokyvina-cung-cap-dich-vu-vien-thong-tai-tinh-gia-lai-do-hoat-dong-khong-co-hieu-qua-737-1235529.htm","10/10/2024","CKV: Quyết định của HĐQT về việc chấm dứt hoạt động Chi nhánh Công ty Cổ phần Cokyvina cung cấp dịch vụ viễn thông tại tỉnh Gia Lai do hoạt động không có hiệu quả
.","",""
"CKV","CKV: Báo cáo tài chính bán niên năm 2024","https://vietstock.vn/2024/08/ckv-bao-cao-tai-chinh-ban-nien-nam-2024-737-1220757.htm","19/08/2024","CKV: Báo cáo tài chính bán niên năm 2024","",""
"CKV","CKV: Báo cáo quản trị công ty bán niên 2024","https://vietstock.vn/2024/08/ckv-bao-cao-quan-tri-cong-ty-ban-nien-2024-737-1215780.htm","01/08/2024","CKV: Báo cáo quản trị công ty bán niên 2024","",""
"CKV","CKV: Báo cáo tài chính quý 2/2024","https://vietstock.vn/2024/07/ckv-bao-cao-tai-chinh-quy-2-2024-737-1211493.htm","25/07/2024","CKV: Báo cáo tài chính quý 2/2024","",""
"CKV","CKV: Ngày đăng ký cuối cùng trả cổ tức bằng tiền mặt","https://vietstock.vn/2024/07/ckv-ngay-dang-ky-cuoi-cung-tra-co-tuc-bang-tien-mat-737-1209240.htm","19/07/2024","CKV: Ngày đăng ký cuối cùng trả cổ tức bằng tiền mặt
Thông báo ngày đăng ký cuối cùng lập danh sách cổ đông đối với cổ phiếuCKVcủa CTCP COKYVINA như sau:1. Ngày đăng ký cuối cùng: 26/07/20242. Ngày giao dịch không hưởng quyền: 25/07/20243. Lý do và mục đích:* Trả cổ tức bằng tiền:- Hình thức trả: Trả cổ tức bằng tiền năm 2023- Tỷ lệ thực hiện: 11%/cổ phiếu (1 cổ phiếu được nhận 1,100 đồng)- Thời gian thực hiện: 30/08/2024- Địa điểm thực hiện:+ Chứng khoán chưa lưu ký: Người sở hữu làm thủ tục nhận cổ tức tại trụ sở Công ty cổ phần Cokyvina tại địa chỉ: số 178 phố Triệu Việt – Phường Nguyễn Du – Quận Hai Bà Trưng – Hà Nội (vào các ngày làm việc trong tuần) bắt đầu từ ngày 30/08/2024 và xuất trình chứng minh thư nhân dân.+ Chứng khoán lưu ký: Người sở hữu làm thủ tục nhận cổ tức tại các Thành viên lưu ký nơi mở tài khoản lưu ký.","",""
"CKV","CKV: Nghị quyết Hội đồng quản trị","https://vietstock.vn/2024/07/ckv-nghi-quyet-hoi-dong-quan-tri-737-1207493.htm","15/07/2024","CKV: Nghị quyết Hội đồng quản trị
.","",""
"CKV","CKV: Bổ nhiệm Ông Tạ Quang Hiệp giữ chức Trưởng Ban kiểm soát nhiệm kỳ 2020 - 2025","https://vietstock.vn/2024/07/ckv-bo-nhiem-ong-ta-quang-hiep-giu-chuc-truong-ban-kiem-soat-nhiem-ky-2020-2025-214-1207496.htm","15/07/2024","CKV: Bổ nhiệm Ông Tạ Quang Hiệp giữ chức Trưởng Ban kiểm soát nhiệm kỳ 2020 - 2025","",""
"CKV","CKV: Thông báo về ngày đăng ký cuối cùng để thực hiện quyền nhận cổ tức năm 2023","https://vietstock.vn/2024/07/ckv-thong-bao-ve-ngay-dang-ky-cuoi-cung-de-thuc-hien-quyen-nhan-co-tuc-nam-2023-737-1206940.htm","12/07/2024","CKV: Thông báo về ngày đăng ký cuối cùng để thực hiện quyền nhận cổ tức năm 2023
.","",""
"CKV","CKV: CBTT  Nghị quyết về việc lựa chọn công ty kiểm toán BCTC năm 2024","https://vietstock.vn/2024/07/ckv-cbtt-nghi-quyet-ve-viec-lua-chon-cong-ty-kiem-toan-bctc-nam-2024-737-1206409.htm","10/07/2024","CKV: CBTT  Nghị quyết về việc lựa chọn công ty kiểm toán BCTC năm 2024
.","",""
"CKV","CKV: CBTT Nghị quyết vv lựa chọn công ty kiểm toán nội bộ năm 2024","https://vietstock.vn/2024/07/ckv-cbtt-nghi-quyet-vv-lua-chon-cong-ty-kiem-toan-noi-bo-nam-2024-737-1206410.htm","10/07/2024","CKV: CBTT Nghị quyết vv lựa chọn công ty kiểm toán nội bộ năm 2024
.","",""
"CKV","CKV: Nghị quyết Đại hội đồng cổ đông thường niên năm 2024","https://vietstock.vn/2024/07/ckv-nghi-quyet-dai-hoi-dong-co-dong-thuong-nien-nam-2024-737-1203857.htm","02/07/2024","CKV: Nghị quyết Đại hội đồng cổ đông thường niên năm 2024","",""
"CKV","CKV: Tài liệu họp Đại hội đồng cổ đông","https://vietstock.vn/2024/06/ckv-tai-lieu-hop-dai-hoi-dong-co-dong-737-1196955.htm","07/06/2024","CKV: Tài liệu họp Đại hội đồng cổ đông","",""
"CKV","CKV: Ngày đăng ký cuối cùng Đại hội đồng cổ đông thường niên năm 2024","https://vietstock.vn/2024/05/ckv-ngay-dang-ky-cuoi-cung-dai-hoi-dong-co-dong-thuong-nien-nam-2024-737-1190233.htm","15/05/2024","CKV: Ngày đăng ký cuối cùng Đại hội đồng cổ đông thường niên năm 2024
Thông báo ngày đăng ký cuối cùng lập danh sách cổ đông đối với cổ phiếuCKVcủa CTCP COKYVINA như sau:1. Ngày đăng ký cuối cùng: 30/05/20242. Ngày giao dịch không hưởng quyền: 29/05/20243. Lý do và mục đích:* Đại hội đồng cổ đông thường niên năm 2024- Tỷ lệ phân bổ quyền: 1 cổ phiếu – 1 quyền biểu quyết- Thời gian họp: Công ty sẽ thông báo trong Thư mời họp Đại hội đồng cổ đông thường niên năm 2024- Địa điểm tổ chức họp: Công ty cổ phần Cokyvina – số 178. phố Triệu Việt Vương, phường Nguyễn Du, quận Hai Bà Trưng, Thành phố Hà Nội- Nội dung họp: Công ty sẽ thông báo sau.","",""
"CKV","CKV: Thông báo về ngày đăng ký cuối cùng để thực hiện quyền tham dự đại hội đồng cổ đông thường niên năm 2024","https://vietstock.vn/2024/05/ckv-thong-bao-ve-ngay-dang-ky-cuoi-cung-de-thuc-hien-quyen-tham-du-dai-hoi-dong-co-dong-thuong-nien-nam-2024-737-1191269.htm","08/05/2024","CKV: Thông báo về ngày đăng ký cuối cùng để thực hiện quyền tham dự đại hội đồng cổ đông thường niên năm 2024
.","",""
"CKV","CKV: Thông báo về ngày ĐKCC để thực hiện quyền tham dự ĐHĐCĐ thường niên năm 2024","https://vietstock.vn/2024/05/ckv-thong-bao-ve-ngay-dkcc-de-thuc-hien-quyen-tham-du-dhdcd-thuong-nien-nam-2024-737-1188363.htm","08/05/2024","CKV: Thông báo về ngày ĐKCC để thực hiện quyền tham dự ĐHĐCĐ thường niên năm 2024
.","",""
