"symbol","title","url","date","content","author","publish_time"
"CTP","CTP: Thay đổi nhân sự","https://vietstock.vn/2025/05/ctp-thay-doi-nhan-su-214-1304795.htm","05/05/2025","CTP: Thay đổi nhân sự","",""
"CTP","CTP: Nghị quyết Hội đồng quản trị","https://vietstock.vn/2025/04/ctp-nghi-quyet-hoi-dong-quan-tri-737-1302807.htm","28/04/2025","CTP: Nghị quyết Hội đồng quản trị
.","",""
"CTP","CTP: Báo cáo tài chính quý 1/2025","https://vietstock.vn/2025/04/ctp-bao-cao-tai-chinh-quy-1-2025-737-1300613.htm","24/04/2025","CTP: Báo cáo tài chính quý 1/2025","",""
"CTP","CTP: Đào Văn Minh - Ủy viên HĐQT - đăng ký bán 200,000 CP","https://vietstock.vn/2025/04/ctp-dao-van-minh-uy-vien-hdqt-dang-ky-ban-200000-cp-739-1299389.htm","22/04/2025","CTP: Đào Văn Minh - Ủy viên HĐQT - đăng ký bán 200,000 CP
- Tên cá nhân thực hiện giao dịch: Đào Văn Minh- Chức vụ hiện nay tại TCNY: Ủy viên HĐQT- Mã chứng khoán:CTP- Số lượng cổ phiếu nắm giữ trước khi thực hiện giao dịch: 456,100 CP (tỷ lệ 3.77%)- Số lượng cổ phiếu đăng ký bán: 200,000 CP- Mục đích thực hiện giao dịch: Cá nhân- Phương thức giao dịch: Thỏa thuận và khớp lệnh- Ngày dự kiến bắt đầu giao dịch: 23/04/2025- Ngày dự kiến kết thúc giao dịch: 16/05/2025.","",""
"CTP","CTP: Thay đổi nhân sự","https://vietstock.vn/2025/04/ctp-thay-doi-nhan-su-214-1298571.htm","21/04/2025","CTP: Thay đổi nhân sự","",""
"CTP","CTP: Báo cáo thường niên 2024","https://vietstock.vn/2025/04/ctp-bao-cao-thuong-nien-2024-737-1298568.htm","21/04/2025","CTP: Báo cáo thường niên 2024","",""
"CTP","CTP: Trần Mạnh Linh - Trưởng Ban kiểm soát - đã mua 100,000 CP","https://vietstock.vn/2025/04/ctp-tran-manh-linh-truong-ban-kiem-soat-da-mua-100000-cp-739-1294396.htm","11/04/2025","CTP: Trần Mạnh Linh - Trưởng Ban kiểm soát - đã mua 100,000 CP
- Tên cá nhân thực hiện giao dịch: Trần Mạnh Linh- Chức vụ hiện nay tại TCNY: Trưởng Ban kiểm soát- Mã chứng khoán:CTP- Số lượng cổ phiếu nắm giữ trước khi thực hiện giao dịch: 0 CP (tỷ lệ 0%)- Số lượng cổ phiếu đăng ký mua: 300,000 CP- Số lượng cổ phiếu đã mua: 100,000 CP- Số lượng cổ phiếu nắm giữ sau khi thực hiện giao dịch: 100,000 CP (tỷ lệ 0.83%)- Lý do không thực hiện giao dịch hết số cổ phiếu đăng ký: Giá thị trường không đạt kỳ vọng mua đầu tư- Ngày bắt đầu giao dịch: 05/03/2025- Ngày kết thúc giao dịch: 01/04/2025.","",""
"CTP","CTP: Báo cáo tài chính năm 2024","https://vietstock.vn/2025/04/ctp-bao-cao-tai-chinh-nam-2024-737-1290245.htm","02/04/2025","CTP: Báo cáo tài chính năm 2024","",""
"CTP","""Ghế nóng"" Chủ tịch, CEO liên tục đổi: Sóng lớn trước mùa ĐHĐCĐ 2025?","https://vietstock.vn/2025/03/ghe-nong-chu-tich-ceo-lien-tuc-doi-song-lon-truoc-mua-dhdcd-2025-214-1283647.htm","21/03/2025","Lỗi khi lấy nội dung","",""
"CTP","CTP góp vốn thành lập công ty bất động sản","https://vietstock.vn/2025/03/ctp-gop-von-thanh-lap-cong-ty-bat-dong-san-737-1280584.htm","12/03/2025","CTP góp vốn thành lập công ty bất động sản
HĐQT CTCP Hòa Bình Takara (HNX:CTP) thông qua việc góp vốn thành lập CTCP Đầu tư và Phát triển Bất động sản Phú Khánh với tỷ lệ sở hữu 14%.
Bất động sản Phú Khánh có trụ sở chính tại số 8 đường A1, khu đô thị Vĩnh Điềm Trung, phường Vĩnh Hiệp, TP. Nha Trang, tỉnh Khánh Hòa. Ngành nghề chính là kinh doanh bất động sản, quyền sử dụng đất thuộc chủ sở hữu, chủ sử dụng hoặc đi thuê.
Công ty mới có vốn điều lệ 300 tỷ đồng, trong đóCTPgóp 42 tỷ đồng, chiếm 14% vốn điều lệ và công ty này trở thành công ty liên kết củaCTP. Đồng thời,CTPcử ông Dương Văn Tịnh (SN 1995) - Thành viên HĐQT kiêm Phó Tổng Giám đốc đại diện phần vốn góp tại Công ty Bất động sản Phú Khánh.
Hòa Bình Takara tiền thân là CTCP Thương Phú được thành lập năm 2010 với vốn điều lệ ban đầu 3 tỷ đồng, hoạt động chủ yếu là sản xuất, chế biến và kinh doanh cà phê các loại.
Công ty niêm yết trên Sàn Giao dịch Chứng khoán Hà Nội (HNX) vào năm 2016 với vốn điều lệ 100 tỷ đồng. Thương Phú đổi tên thành Hòa Bình Takara vào ngày 21/11/2024. Hiện, Công ty có vốn điều lệ gần 121 tỷ đồng do ôngTrần Công Thànhlàm Chủ tịch HĐQT.
Liên quan đến bất động sản, BCTC quý 4/2024 củaCTPcho thấy Công ty đã đầu tư 75 tỷ đồng để sở hữu 25% vốn của Công ty TNHH Đầu tư và Phát triển Du lịch Hiền Lương (địa chỉ tại tiểu khu Liên Phương, thị trấn Đà Bắc, huyện Đà Bắc, tỉnh Hòa Bình) - chủ đầu tư dự án trồng rừng kết hợp du lịch sinh thái và nghỉ dưỡng Hiền Lương (tên thương mại Takara Hoà Bình Resort).
*Dự án Takara Hoà Bình Resort bị giảm diện tích, CTP muốn huy động 480 tỷ từ cổ phiếu
Về họat động kinh doanh, năm 2024,CTPmang về doanh thu thuần gần 38 tỷ đồng, giảm 57% so với năm trước; lợi nhuận ròng gần 390 triệu đồng, gấp 3.5 lần năm 2023.","Thanh Tú","12:58 12/03/2025"
"CTP","CTP: Nghị quyết Đại hội đồng cổ đông thông qua bằng hình thức lấy ý kiến cổ đông bằng văn bản năm 2025","https://vietstock.vn/2025/03/ctp-nghi-quyet-dai-hoi-dong-co-dong-thong-qua-bang-hinh-thuc-lay-y-kien-co-dong-bang-van-ban-nam-2025-737-1280477.htm","12/03/2025","CTP: Nghị quyết Đại hội đồng cổ đông thông qua bằng hình thức lấy ý kiến cổ đông bằng văn bản năm 2025","",""
"CTP","CTP: Nghị quyết Hội đồng quản trị","https://vietstock.vn/2025/03/ctp-nghi-quyet-hoi-dong-quan-tri-737-1280475.htm","12/03/2025","CTP: Nghị quyết Hội đồng quản trị
.","",""
"CTP","CTP: Nghị quyết Hội đồng quản trị","https://vietstock.vn/2025/03/ctp-nghi-quyet-hoi-dong-quan-tri-737-1279675.htm","10/03/2025","CTP: Nghị quyết Hội đồng quản trị
.","",""
"CTP","CTP: Trần Mạnh Linh - Trưởng Ban kiểm soát - đăng ký mua 300,000 CP","https://vietstock.vn/2025/03/ctp-tran-manh-linh-truong-ban-kiem-soat-dang-ky-mua-300000-cp-739-1277524.htm","04/03/2025","CTP: Trần Mạnh Linh - Trưởng Ban kiểm soát - đăng ký mua 300,000 CP
- Tên cá nhân thực hiện giao dịch: Trần Mạnh Linh- Chức vụ hiện nay tại TCNY: Trưởng Ban kiểm soát- Mã chứng khoán:CTP- Số lượng cổ phiếu nắm giữ trước khi thực hiện giao dịch: 0 CP (tỷ lệ 0%)- Số lượng cổ phiếu đăng ký mua: 300,000 CP- Mục đích thực hiện giao dịch: Đầu tư cá nhân- Phương thức giao dịch: Thỏa thuận và khớp lệnh- Ngày dự kiến bắt đầu giao dịch: 05/03/2025- Ngày dự kiến kết thúc giao dịch: 01/04/2025.","",""
