"symbol","title","url","date","content","author","publish_time"
"DC2","DC2: Báo cáo tài chính quý 1/2025","https://vietstock.vn/2025/04/dc2-bao-cao-tai-chinh-quy-1-2025-737-1298246.htm","21/04/2025","DC2: Báo cáo tài chính quý 1/2025","",""
"DC2","DC2: Nghị quyết Hội đồng quản trị","https://vietstock.vn/2025/04/dc2-nghi-quyet-hoi-dong-quan-tri-737-1294545.htm","11/04/2025","DC2: Nghị quyết Hội đồng quản trị
.","",""
"DC2","DC2: Tài liệu họp Đại hội đồng cổ đông","https://vietstock.vn/2025/04/dc2-tai-lieu-hop-dai-hoi-dong-co-dong-737-1293918.htm","10/04/2025","DC2: Tài liệu họp Đại hội đồng cổ đông","",""
"DC2","DC2: Báo cáo thường niên 2024","https://vietstock.vn/2025/04/dc2-bao-cao-thuong-nien-2024-737-1291832.htm","04/04/2025","DC2: Báo cáo thường niên 2024","",""
"DC2","DC2: Báo cáo tài chính năm 2024","https://vietstock.vn/2025/04/dc2-bao-cao-tai-chinh-nam-2024-737-1289204.htm","01/04/2025","DC2: Báo cáo tài chính năm 2024","",""
"DC2","DC2: Tài liệu họp Đại hội đồng cổ đông","https://vietstock.vn/2025/03/dc2-tai-lieu-hop-dai-hoi-dong-co-dong-737-1286509.htm","27/03/2025","DC2: Tài liệu họp Đại hội đồng cổ đông","",""
"DC2","DC2: Ngày đăng ký cuối cùng Đại hội đồng cổ đông thường niên năm 2025","https://vietstock.vn/2025/03/dc2-ngay-dang-ky-cuoi-cung-dai-hoi-dong-co-dong-thuong-nien-nam-2025-737-1277905.htm","05/03/2025","DC2: Ngày đăng ký cuối cùng Đại hội đồng cổ đông thường niên năm 2025
Thông báo ngày đăng ký cuối cùng lập danh sách cổ đông đối với cổ phiếuDC2của CTCP Đầu tư Phát triển - Xây dựng (DIC) số 2 như sau:1. Ngày đăng ký cuối cùng: 18/03/20252. Ngày giao dịch không hưởng quyền: 17/03/20253. Lý do và mục đích:* Đại hội đồng cổ đông thường niên năm 2025- Tỷ lệ phân bổ quyền: 1:1 (1 cổ phiếu - 1 quyền biểu quyết)- Thời gian họp: TCĐKCK sẽ thông báo cụ thể trong thư mời họp- Địa điểm tổ chức họp: TCĐKCK sẽ thông báo cụ thể trong thư mời họp- Nội dung họp: + Báo cáo của HĐQT về kết quả về tình hình thực hiện các chỉ tiêu SXKD năm 2024 và định hướng các chỉ tiêu kế hoạch SXKD năm 2025;+ Báo cáo tài chính đã kiểm toán năm 2024. quyết toán tiền thu lao của thành viên HĐQT, BKS năm 2024. kế hoạch thù lao của thành viên HĐQT, BKS năm 2025;- Nội dung họp: + Báo cáo hoạt động của BKS năm 2024. phương hướng nhiệm vụ năm 2025;+ Đề xuất đơn vị kiểm toán BCTC 2025;+ Các nội dung khác thuộc thẩm quyền của ĐHĐCĐ.","",""
"DC2","DC2: Thông báo về ngày đăng ký cuối cùng để thực hiện quyền tham dự Đại hội đồng cổ đông thường niên năm 2025","https://vietstock.vn/2025/02/dc2-thong-bao-ve-ngay-dang-ky-cuoi-cung-de-thuc-hien-quyen-tham-du-dai-hoi-dong-co-dong-thuong-nien-nam-2025-737-1276032.htm","28/02/2025","DC2: Thông báo về ngày đăng ký cuối cùng để thực hiện quyền tham dự Đại hội đồng cổ đông thường niên năm 2025
.","",""
"DC2","DC2: Nghị quyết Hội đồng quản trị","https://vietstock.vn/2025/02/dc2-nghi-quyet-hoi-dong-quan-tri-737-1274747.htm","25/02/2025","DC2: Nghị quyết Hội đồng quản trị
.","",""
"DC2","DC2: Báo cáo tiến độ sử dụng vốn","https://vietstock.vn/2025/02/dc2-bao-cao-tien-do-su-dung-von-830-1271814.htm","14/02/2025","DC2: Báo cáo tiến độ sử dụng vốn","",""
