"symbol","title","url","date","content","author","publish_time"
"DL1","DL1: Báo cáo thường niên 2024","https://vietstock.vn/2025/04/dl1-bao-cao-thuong-nien-2024-737-1300603.htm","24/04/2025","DL1: Báo cáo thường niên 2024","",""
"DL1","DL1: Ngày đăng ký cuối cùng Đại hội đồng cổ đông thường niên năm 2025","https://vietstock.vn/2025/04/dl1-ngay-dang-ky-cuoi-cung-dai-hoi-dong-co-dong-thuong-nien-nam-2025-737-1295891.htm","15/04/2025","DL1: Ngày đăng ký cuối cùng Đại hội đồng cổ đông thường niên năm 2025
Thông báo ngày đăng ký cuối cùng lập danh sách cổ đông đối với cổ phiếuDL1của CTCP Tập đoàn Alpha Seven như sau:1. Ngày đăng ký cuối cùng: 28/04/20252. Ngày giao dịch không hưởng quyền: 25/04/20253. Lý do và mục đích:* Đại hội đồng cổ đông thường niên năm 2025- Tỷ lệ phân bổ quyền: 1:1 (1 cổ phiếu - 1 quyền biểu quyết)- Thời gian họp: 01/06/2025- Địa điểm tổ chức họp: Sảnh chính Tầng 1. Công ty cổ phần Tập đoàn Alpha Seven, địa chỉ: Lô I3-6, Đường N2, Khu công nghệ cao, P. Tăng Nhơn Phú A, TP. Thủ Đức, TP. Hồ Chí Minh.- Nội dung họp: Thông tin chi tiết sẽ được Công ty thông báo trong thư mời.","",""
"DL1","DL1: Thông báo Về ngày đăng ký cuối cùng để thực hiện quyền tham dự Đại hội đồng cổ đông thường niên năm 2025","https://vietstock.vn/2025/04/dl1-thong-bao-ve-ngay-dang-ky-cuoi-cung-de-thuc-hien-quyen-tham-du-dai-hoi-dong-co-dong-thuong-nien-nam-2025-737-1293395.htm","09/04/2025","DL1: Thông báo Về ngày đăng ký cuối cùng để thực hiện quyền tham dự Đại hội đồng cổ đông thường niên năm 2025
.","",""
"DL1","DL1: Nghị quyết Hội đồng quản trị về việc Thống nhất các nội dung tổ chức Đại hội đồng Cổ đông thường niên năm 2025.","https://vietstock.vn/2025/04/dl1-nghi-quyet-hoi-dong-quan-tri-ve-viec-thong-nhat-cac-noi-dung-to-chuc-dai-hoi-dong-co-dong-thuong-nien-nam-2025-737-1293378.htm","09/04/2025","DL1: Nghị quyết Hội đồng quản trị về việc Thống nhất các nội dung tổ chức Đại hội đồng Cổ đông thường niên năm 2025.
.","",""
"DL1","DL1: Báo cáo tài chính năm 2024","https://vietstock.vn/2025/04/dl1-bao-cao-tai-chinh-nam-2024-737-1290188.htm","02/04/2025","DL1: Báo cáo tài chính năm 2024","",""
"DL1","DL1: Báo cáo tài chính năm 2024 (Công ty mẹ)","https://vietstock.vn/2025/04/dl1-bao-cao-tai-chinh-nam-2024-cong-ty-me-737-1290187.htm","02/04/2025","DL1: Báo cáo tài chính năm 2024 (Công ty mẹ)","",""
"DL1","DL1 “chia tay” cổ đông liên quan Tổng Giám đốc","https://vietstock.vn/2025/03/dl1-chia-tayco-dong-lien-quan-tong-giam-doc-739-1286081.htm","26/03/2025","DL1 “chia tay” cổ đông liên quan Tổng Giám đốc
Shine Profit Development Limited báo cáo đã hoàn tất thoái toàn bộ vốn khỏi CTCP Tập đoàn Alpha Seven (HNX:DL1).
Từ ngày 18-19/03, Shine Profit Development đã bán toàn bộ 5.3 triệu cpDL1nắm giữ, chiếm 4.99% vốn tại đây, chính thức không còn là cổ đông củaDL1.
Shine Profit Development là tổ chức có liên quan đến ôngNguyễn Đình Trạc- Ủy viên HĐQT kiêm Tổng Giám đốcDL1. Cá nhân ông Trạc đang sở hữu hơn 1.2 triệu cpDL1, tương ứng tỷ lệ 1.15%.
Phiên 19/03, cổ phiếuDL1ghi nhận giao dịch thỏa thuận có khối lượng đúng bằng giao dịch của Shine Profit Development. Giá trị giao dịch hơn 29 tỷ đồng, tương đương 5,500 đồng/cp, cao hơn một chút so giá đóng cửa 5,300 đồng/cp.
DL1chia tay Shine Profit Development khi giá cổ phiếu tăng 20% so với đầu năm 2025 nhưng giảm gần 22% so với đỉnh 7,800 đồng/cp từng thiết lập hồi cuối tháng 9/2024.
Năm 2024,DL1đạt gần 548 tỷ đồng doanh thu thuần, tăng 95% so với năm trước. Tuy nhiên, Công ty thu về lãi ròng vỏn vẹn hơn 1 tỷ đồng, lao dốc đến 97%, chủ yếu do áp lực chi phí gia tăng và doanh thu tài chính giảm.","Khang Di","16:39 26/03/2025"
"DL1","DL1: Shine Profit Development Limited - người có liên quan đến Tổng Giám đốc; Ủy viên HĐQT - đã bán 5,304,000 CP","https://vietstock.vn/2025/03/dl1-shine-profit-development-limited-nguoi-co-lien-quan-den-tong-giam-doc;-uy-vien-hdqt-da-ban-5304000-cp-739-1285872.htm","26/03/2025","DL1: Shine Profit Development Limited - người có liên quan đến Tổng Giám đốc; Ủy viên HĐQT - đã bán 5,304,000 CP
- Tên tổ chức thực hiện giao dịch: Shine Profit Development Limited- Mã chứng khoán:DL1- Số lượng cổ phiếu nắm giữ trước khi thực hiện giao dịch: 5,304,000 CP (tỷ lệ 4.99%)- Tên của người có liên quan tại TCNY:Nguyễn Đình Trạc- Chức vụ hiện nay của NCLQ tại tổ chức niêm yết: Tổng Giám đốc; Ủy viên HĐQT- Chức vụ hiện nay của NCLQ tại tổ chức thực hiện giao dịch: Khác- Số lượng cổ phiếu NCLQ đang nắm giữ: 1,222,376 CP (tỷ lệ 1.15%)- Số lượng cổ phiếu đăng ký bán: 5,304,000 CP- Số lượng cổ phiếu đã bán: 5,304,000 CP- Số lượng cổ phiếu nắm giữ sau khi thực hiện giao dịch: 0 CP (tỷ lệ 0%)- Ngày bắt đầu giao dịch: 18/03/2025- Ngày kết thúc giao dịch: 19/03/2025.","",""
"DL1","Cổ đông ngoại miệt mài thoái hết vốn DL1","https://vietstock.vn/2025/03/co-dong-ngoai-miet-mai-thoai-het-von-dl1-739-1282159.htm","17/03/2025","Cổ đông ngoại miệt mài thoái hết vốn DL1
Shine Profit Development Limited - tổ chức có liên quan đến Tổng Giám đốc CTCP Tập đoàn Alpha Seven (HNX:DL1) - đăng ký thoái toàn bộ vốn nắm giữ tạiDL1để cơ cấu danh mục đầu tư trong giai đoạn 18/03-16/04.
Tổng Giám đốc kiêm Ủy viên HĐQTDL1Nguyễn Đình Trạclà người có mối liên hệ tại Shine Profit Development Limited. Tổ chức này đăng ký bán toàn bộ hơn 5.3 triệu cpDL1nắm giữ, tương đương tỷ lệ 1.15%. Với thị giáDL1ngày 17/03 là 5,400 đồng/cp, ước tính tổ chức này có thể thu về 28.6 tỷ đồng nếu thoái vốn thành công.
Shine Profit Development có động thái thoái vốnDL1từ đầu tháng 12/2024 với lệnh đăng ký bán toàn bộ cổ phiếu, nhưng giao dịch không thể thực hiện vì chưa có người mua. Đáng nói, giai đoạn tổ chức này đăng ký bán (từ 06/12/2024-03/01/2025), thanh khoản trên sàn củaDL1từ hàng trăm ngàn đến hàng triệu cổ phiếu mỗi phiên. Như vậy, khả năng Shine Profit Development muốn bán số cổ phiếu này thông qua thỏa thuận, thay vì khớp lệnh trên sàn.
Động thái thoái vốn từ Shine Profit Development diễn ra trong bối cảnh tình hình kinh doanh củaDL1bất ngờ xuống dốc. Trong quý 4/2024,DL1đạt gần 306 tỷ đồng doanh thu thuần, gấp 4.5 lần cùng kỳ; nhưng lỗ ròng tới 52 tỷ đồng (cùng kỳ lãi gần 5.1 tỷ đồng). Nguyên nhân vì chi phí tài chính và quản lý doanh nghiệp tăng mạnh, lần lượt gấp gần 2 lần và gần 9 lần cùng kỳ.
Theo thuyết minh, các khoản chi phí thanh lý đầu tư tài chính (56 tỷ đồng), chi phí nhân viên quản lý (9.2 tỷ đồng) và chi phí quản lý doanh nghiệp khác (hơn 26 tỷ đồng) đều tăng gấp nhiều lần.
Khoản lỗ bất ngờ tại quý 4 kéo sập thành quả cả năm củaDL1. Kết năm 2024,DL1đạt 548 tỷ đồng doanh thu thuần, gấp gần 2 lần năm trước; lãi ròng chỉ 1.4 tỷ đồng (cùng kỳ lãi hơn 42 tỷ đồng).
Diễn biến khác, trong quý 4/2024,DL1đã mua lại toàn bộ phần vốn góp của CTCP Tập đoàn Đức Long Gia Lai (HOSE:DLG) tại công ty con Công ty TNHH Mass Noble Investments Limited (chuyên sản xuất linh kiện điện tử) với giá công bố là 255 tỷ đồng. BCTC quý 4/2024 củaDL1ghi nhận Mass Noble Investments Limited là công ty con, với tổng tỷ lệ sở hữu hơn 97% vốn điều lệ.
*Bên chi 255 tỷ nhận chuyển nhượng công ty sản xuất linh kiện điện tử từ DLG có gì đặc biệt?","Châu An","14:07 17/03/2025"
"DL1","DL1: Shine Profit Development Limited - người có liên quan đến Tổng Giám đốc; Ủy viên HĐQT - đăng ký bán 5,304,000 CP","https://vietstock.vn/2025/03/dl1-shine-profit-development-limited-nguoi-co-lien-quan-den-tong-giam-doc;-uy-vien-hdqt-dang-ky-ban-5304000-cp-739-1282059.htm","17/03/2025","DL1: Shine Profit Development Limited - người có liên quan đến Tổng Giám đốc; Ủy viên HĐQT - đăng ký bán 5,304,000 CP
- Tên tổ chức thực hiện giao dich: Shine Profit Development Limited- Mã chứng khoán:DL1- Số lượng cổ phiếu nắm giữ trước khi thực hiện giao dịch: 5,304,000 CP (tỷ lệ 4.99%)- Tên của người có liên quan tại TCNY:Nguyễn Đình Trạc- Chức vụ hiện nay của NCLQ tại tổ chức niêm yết: Tổng Giám đốc; Ủy viên HĐQT- Chức vụ hiện nay của NCLQ tại tổ chức thực hiện giao dịch: Khác- Số lượng cổ phiếu NCLQ đang nắm giữ: 1,222,376 CP (tỷ lệ 1.15%)- Số lượng cổ phiếu đăng ký bán: 5,304,000 CP- Mục đích thực hiện giao dịch: Cơ cấu danh mục đầu tư- Phương thức giao dịch: Thỏa thuận và khớp lệnh- Ngày dự kiến bắt đầu giao dịch: 18/03/2025- Ngày dự kiến kết thúc giao dịch: 16/04/2025.","",""
"DL1","DL1: Thông báo của VSDC về việc hủy ngày đăng ký cuối cùng thực hiện quyền tham dự Đại hội đồng cổ đông","https://vietstock.vn/2025/03/dl1-thong-bao-cua-vsdc-ve-viec-huy-ngay-dang-ky-cuoi-cung-thuc-hien-quyen-tham-du-dai-hoi-dong-co-dong-737-1281585.htm","14/03/2025","DL1: Thông báo của VSDC về việc hủy ngày đăng ký cuối cùng thực hiện quyền tham dự Đại hội đồng cổ đông
.","",""
"DL1","DL1: Nghị quyết Hội đồng quản trị về việc điều chỉnh kế hoạch tổ chức Đại hội đồng cổ đông thường niên năm 2025","https://vietstock.vn/2025/03/dl1-nghi-quyet-hoi-dong-quan-tri-ve-viec-dieu-chinh-ke-hoach-to-chuc
dai-hoi-dong-co-dong-thuong-nien-nam-2025-737-1279681.htm","10/03/2025","DL1: Nghị quyết Hội đồng quản trị về việc điều chỉnh kế hoạch tổ chức
Đại hội đồng cổ đông thường niên năm 2025
.","",""
"DL1","DL1: Thông báo về việc huỷ Thông báo chốt danh sách cổ đông để thực hiện quyền tham dự Đại hội đồng cổ đông thường niên năm 2025","https://vietstock.vn/2025/03/dl1-thong-bao-ve-viec-huy-thong-bao-chot-danh-sach-co-dong-de-thuc-hien-quyen-tham-du-dai-hoi-dong-co-dong-thuong-nien-nam-2025-737-1279676.htm","10/03/2025","DL1: Thông báo về việc huỷ Thông báo chốt danh sách cổ đông để thực hiện quyền tham dự Đại hội đồng cổ đông thường niên năm 2025
.","",""
"DL1","DL1: Ngày đăng ký cuối cùng Đại hội đồng cổ đông thường niên năm 2025","https://vietstock.vn/2025/03/dl1-ngay-dang-ky-cuoi-cung-dai-hoi-dong-co-dong-thuong-nien-nam-2025-737-1277449.htm","04/03/2025","DL1: Ngày đăng ký cuối cùng Đại hội đồng cổ đông thường niên năm 2025
Thông báo ngày đăng ký cuối cùng lập danh sách cổ đông đối với cổ phiếuDL1của CTCP Tập đoàn Alpha Seven như sau:1. Ngày đăng ký cuối cùng: 24/03/20252. Ngày giao dịch không hưởng quyền: 21/03/20243. Lý do và mục đích:* Đại hội đồng cổ đông thường niên năm 2025- Tỷ lệ phân bổ quyền: 1:1 (1 cổ phiếu - 1 quyền biểu quyết)- Thời gian họp: 23/04/2025- Địa điểm tổ chức họp: Sảnh chính Tầng 1 Công ty cổ phần Tập đoàn Alpha Seven, địa chỉ: Lô I3-6, Đường N2, Khu Công nghệ cao, P. Tăng Nhơn Phú A, TP. Thủ Đức, TP. Hồ Chí Minh- Nội dung họp: Thông tin chi tiết sẽ được Công ty thông báo trong thư mời","",""
"DL1","DL1: Thông báo Về ngày đăng ký cuối cùng để thực hiện quyền tham dự Đại hội đồng cổ đông thường niên năm 2025","https://vietstock.vn/2025/02/dl1-thong-bao-ve-ngay-dang-ky-cuoi-cung-de-thuc-hien-quyen-tham-du-dai-hoi-dong-co-dong-thuong-nien-nam-2025-737-1275708.htm","27/02/2025","DL1: Thông báo Về ngày đăng ký cuối cùng để thực hiện quyền tham dự Đại hội đồng cổ đông thường niên năm 2025
.","",""
"DL1","DL1: Nghị quyết Hội đồng quản trị về việc Thống nhất các nội dung tổ chức Đại hội đồng Cổ đông thường niên năm 2025.","https://vietstock.vn/2025/02/dl1-nghi-quyet-hoi-dong-quan-tri-ve-viec-thong-nhat-cac-noi-dung-to-chuc-dai-hoi-dong-co-dong-thuong-nien-nam-2025-737-1275142.htm","26/02/2025","DL1: Nghị quyết Hội đồng quản trị về việc Thống nhất các nội dung tổ chức Đại hội đồng Cổ đông thường niên năm 2025.
.","",""
"DL1","DL1: Báo cáo tài chính quý 4/2024 (công ty mẹ)","https://vietstock.vn/2025/02/dl1-bao-cao-tai-chinh-quy-4-2024-cong-ty-me-737-1270036.htm","07/02/2025","DL1: Báo cáo tài chính quý 4/2024 (công ty mẹ)","",""
"DL1","DL1: Giải trình chênh lệch lợi nhuận sau thuế từ 10% trở lên đối với báo cáo tài chính Quý 4 năm 2024.","https://vietstock.vn/2025/02/dl1-giai-trinh-chenh-lech-loi-nhuan-sau-thue-tu-10-tro-len-doi-voi-bao-cao-tai-chinh-quy-4-nam-2024-737-1269326.htm","06/02/2025","DL1: Giải trình chênh lệch lợi nhuận sau thuế từ 10% trở lên đối với báo cáo tài chính Quý 4 năm 2024.
.","",""
"DL1","DL1: Báo cáo tài chính quý 4/2024","https://vietstock.vn/2025/02/dl1-bao-cao-tai-chinh-quy-4-2024-737-1269325.htm","06/02/2025","DL1: Báo cáo tài chính quý 4/2024","",""
"DL1","DL1: Báo cáo quản trị công ty năm 2024","https://vietstock.vn/2025/02/dl1-bao-cao-quan-tri-cong-ty-nam-2024-737-1269241.htm","05/02/2025","DL1: Báo cáo quản trị công ty năm 2024","",""
"DL1","DL1: Thay đổi Giấy chứng nhận đăng ký hoạt động chi nhánh Bến xe Gia Lai - Chi nhánh Công ty cổ phần Tập đoàn Alpha Seven lần thứ 2","https://vietstock.vn/2025/02/dl1-thay-doi-giay-chung-nhan-dang-ky-hoat-dong-chi-nhanh-ben-xe-gia-lai-chi-nhanh-cong-ty-co-phan-tap-doan-alpha-seven-lan-thu-2-737-1268383.htm","04/02/2025","DL1: Thay đổi Giấy chứng nhận đăng ký hoạt động chi nhánh Bến xe Gia Lai - Chi nhánh Công ty cổ phần Tập đoàn Alpha Seven lần thứ 2
.","",""
"DL1","DL1: Nghị quyết Hội đồng quản trị","https://vietstock.vn/2025/01/dl1-nghi-quyet-hoi-dong-quan-tri-737-1264903.htm","22/01/2025","DL1: Nghị quyết Hội đồng quản trị
.","",""
"DL1","DL1: Bổ nhiệm Ông Huỳnh Trọng Khiêm giữ chức vụ Giám đốc Chi nhánh thay cho Bà Phạm Thị Bích Loan","https://vietstock.vn/2025/01/dl1-bo-nhiem-ong-huynh-trong-khiem-giu-chuc-vu-giam-doc-chi-nhanh-thay-cho-ba-pham-thi-bich-loan-214-1263408.htm","20/01/2025","DL1: Bổ nhiệm Ông Huỳnh Trọng Khiêm giữ chức vụ Giám đốc Chi nhánh thay cho Bà Phạm Thị Bích Loan","","11:13 20/01/2025"
"DL1","DL1: Công bố thông tin Đơn từ nhiệm của Giám đốc chi nhánh.","https://vietstock.vn/2025/01/dl1-cong-bo-thong-tin-don-tu-nhiem-cua-giam-doc-chi-nhanh-737-1260909.htm","10/01/2025","DL1: Công bố thông tin Đơn từ nhiệm của Giám đốc chi nhánh.
.","",""
"DL1","DL1: Shine Profit Development Limited - người có liên quan đến Tổng Giám đốc; Ủy viên HĐQT - đã bán 0 CP","https://vietstock.vn/2025/01/dl1-shine-profit-development-limited-nguoi-co-lien-quan-den-tong-giam-doc;-uy-vien-hdqt-da-ban-0-cp-739-1260222.htm","08/01/2025","DL1: Shine Profit Development Limited - người có liên quan đến Tổng Giám đốc; Ủy viên HĐQT - đã bán 0 CP
- Tên tổ chức thực hiện giao dịch: Shine Profit Development Limited- Mã chứng khoán:DL1- Số lượng cổ phiếu nắm giữ trước khi thực hiện giao dịch: 5,304,000 CP (tỷ lệ 4.99%)- Tên của người có liên quan tại TCNY:Nguyễn Đình Trạc- Chức vụ hiện nay của NCLQ tại tổ chức niêm yết: Tổng Giám đốc; Ủy viên HĐQT- Chức vụ hiện nay của NCLQ tại tổ chức thực hiện giao dịch: Khác- Số lượng cổ phiếu NCLQ đang nắm giữ: 1,222,376 CP (tỷ lệ 1.15%)- Số lượng cổ phiếu đăng ký bán: 5,304,000 CP- Số lượng cổ phiếu đã bán: 0 CP- Số lượng cổ phiếu nắm giữ sau khi thực hiện giao dịch: 5,304,000 CP (tỷ lệ 4.99%)- Lý do không thực hiện giao dịch hết số cổ phiếu đăng ký: Chưa có người mua- Ngày bắt đầu giao dịch: 06/12/2024- Ngày kết thúc giao dịch: 03/01/2025.","",""
"DL1","DL1: Nghị quyết Hội đồng quản trị","https://vietstock.vn/2025/01/dl1-nghi-quyet-hoi-dong-quan-tri-737-1257569.htm","02/01/2025","DL1: Nghị quyết Hội đồng quản trị
.","",""
"DL1","DL1: Công ty liên quan Tổng Giám đốc muốn thoái toàn bộ vốn","https://vietstock.vn/2024/12/dl1-cong-ty-lien-quan-tong-giam-doc-muon-thoai-toan-bo-von-739-1250339.htm","05/12/2024","DL1: Công ty liên quan Tổng Giám đốc muốn thoái toàn bộ vốn
Shine Profit Development Limited vừa đăng ký bán ra toàn bộ cổ phần nắm giữ tại CTCP Tập đoàn Alpha Seven (HNX:DL1).
Cụ thể, Shine Profit Development Limited muốn bán hơn 5.3 triệu cpDL1, tương ứng tỷ lệ sở hữu 4.99%, nhằm cơ cấu danh mục đầu tư.
Tổ chức nói trên là đơn vị liên quan đến Tổng Giám đốc kiêm Thành viên HĐQTDL1- ôngNguyễn Đình Trạc. Hiện, vị này cũng đang trực tiếp sở hữu 1.22 triệu cpDL1, tương ứng tỷ lệ 1.15%.
DL1là cổ phiếu trải qua biến động đáng kể gần đây, khi tăng vọt từ vùng giá 5,000 đồng/cp lên mức 7,800 đồng/cp, rồi tuột dốc trở lại trong vòng vài tháng.
Các giao dịch dự kiến được Shine Profit Development Limited thực hiện từ ngày 06/12/2024-03/01/2025, có thể theo phương thức khớp lệnh hoặc thỏa thuận.
*Bên chi 255 tỷ nhận chuyển nhượng công ty sản xuất linh kiện điện tử từ DLG có gì đặc biệt?","Thừa Vân",""
"DL1","DL1: Shine Profit Development Limited - người có liên quan đến Tổng Giám đốc; Ủy viên HĐQT - đăng ký bán 5,304,000 CP","https://vietstock.vn/2024/12/dl1-shine-profit-development-limited-nguoi-co-lien-quan-den-tong-giam-doc;-uy-vien-hdqt-dang-ky-ban-5304000-cp-739-1250287.htm","05/12/2024","DL1: Shine Profit Development Limited - người có liên quan đến Tổng Giám đốc; Ủy viên HĐQT - đăng ký bán 5,304,000 CP
- Tên tổ chức thực hiện giao dich: Shine Profit Development Limited- Mã chứng khoán:DL1- Số lượng cổ phiếu nắm giữ trước khi thực hiện giao dịch: 5,304,000 CP (tỷ lệ 4.99%)- Tên của người có liên quan tại TCNY:Nguyễn Đình Trạc- Chức vụ hiện nay của NCLQ tại tổ chức niêm yết: Tổng Giám đốc; Ủy viên HĐQT- Chức vụ hiện nay của NCLQ tại tổ chức thực hiện giao dịch: Khác- Số lượng cổ phiếu NCLQ đang nắm giữ: 1,222,376 CP (tỷ lệ 1.15%)- Số lượng cổ phiếu đăng ký bán: 5,304,000 CP- Mục đích thực hiện giao dịch: Cơ cấu danh mục đầu tư- Phương thức giao dịch: Thỏa thuận và khớp lệnh- Ngày dự kiến bắt đầu giao dịch: 06/12/2024- Ngày dự kiến kết thúc giao dịch: 03/01/2025.","",""
"DL1","DL1: Công văn giải trình chênh lệch 10% LNST quý 3 năm 2024 so với quý 3 năm 2023","https://vietstock.vn/2024/10/dl1-cong-van-giai-trinh-chenh-lech-10-lnst-quy-3-nam-2024-so-voi-quy-3-nam-2023-830-1241994.htm","31/10/2024","DL1: Công văn giải trình chênh lệch 10% LNST quý 3 năm 2024 so với quý 3 năm 2023
.","",""
"DL1","DL1: Báo cáo tài chính quý 3/2024","https://vietstock.vn/2024/10/dl1-bao-cao-tai-chinh-quy-3-2024-737-1241997.htm","31/10/2024","DL1: Báo cáo tài chính quý 3/2024","",""
"DL1","DL1: Báo cáo tài chính quý 3/2024 (công ty mẹ)","https://vietstock.vn/2024/10/dl1-bao-cao-tai-chinh-quy-3-2024-cong-ty-me-737-1242003.htm","31/10/2024","DL1: Báo cáo tài chính quý 3/2024 (công ty mẹ)","",""
"DL1","DL1: Nghị quyết Hội đồng quản trị thông qua việc dùng tài sản công ty để bảo đảm nghĩa vụ vay vốn cho bên thứ ba.","https://vietstock.vn/2024/10/dl1-nghi-quyet-hoi-dong-quan-tri-thong-qua-viec-dung-tai-san-cong-ty-de-bao-dam-nghia-vu-vay-von-cho-ben-thu-ba-737-1233034.htm","01/10/2024","DL1: Nghị quyết Hội đồng quản trị thông qua việc dùng tài sản công ty để bảo đảm nghĩa vụ vay vốn cho bên thứ ba.
.","",""
