"symbol","title","url","date","content","author","publish_time"
"DNP","DNP: Thay đổi nhân sự","https://vietstock.vn/2025/05/dnp-thay-doi-nhan-su-214-1304726.htm","05/05/2025","DNP: Thay đổi nhân sự","",""
"DNP","DNP: Nghị quyết Đại hội đồng cổ đông thường niên năm 2025","https://vietstock.vn/2025/04/dnp-nghi-quyet-dai-hoi-dong-co-dong-thuong-nien-nam-2025-737-1303824.htm","29/04/2025","DNP: Nghị quyết Đại hội đồng cổ đông thường niên năm 2025","",""
"DNP","Thông báo về việc khôi phục giao dịch với trái phiếu DNP12401 của Công ty Cổ phần DNP Holding","https://vietstock.vn/2025/04/thong-bao-ve-viec-khoi-phuc-giao-dich-voi-trai-phieu-dnp12401-cua-cong-ty-co-phan-dnp-holding-3118-1300072.htm","23/04/2025","Thông báo về việc khôi phục giao dịch với trái phiếu DNP12401 của Công ty Cổ phần DNP Holding","",""
"DNP","Thông báo về việc thay đổi đăng ký giao dịch đối với trái phiếu DNP12401 của Công ty Cổ phần DNP Holding","https://vietstock.vn/2025/04/thong-bao-ve-viec-thay-doi-dang-ky-giao-dich-doi-voi-trai-phieu-dnp12401-cua-cong-ty-co-phan-dnp-holding-3118-1300064.htm","23/04/2025","Thông báo về việc thay đổi đăng ký giao dịch đối với trái phiếu DNP12401 của Công ty Cổ phần DNP Holding","",""
"DNP","DNP: Báo cáo thường niên 2024","https://vietstock.vn/2025/04/dnp-bao-cao-thuong-nien-2024-737-1299975.htm","23/04/2025","DNP: Báo cáo thường niên 2024","",""
"DNP","DNP bị xử phạt hành chính 320 triệu đồng, buộc di dời khỏi KCN Biên Hòa 1","https://vietstock.vn/2025/04/dnp-bi-xu-phat-hanh-chinh-320-trieu-dong-buoc-di-doi-khoi-kcn-bien-hoa-1-737-1295280.htm","14/04/2025","DNP bị xử phạt hành chính 320 triệu đồng, buộc di dời khỏi KCN Biên Hòa 1
Ngày 10/4, UBND tỉnh Đồng Nai ban hành Quyết định số 1112/QĐ-XPHC về việc xử phạt vi phạm hành chính trong lĩnh vực bảo vệ môi trường đối với CTCPDNPHolding (HNX:DNP) hoạt động tại khu công nghiệp (KCN) Biên Hòa 1, TP. Biên Hòa.
UBND tỉnh cho biếtDNPđang hoạt động sản xuất tại đường số 9, KCN Biên Hòa 1, thuộc đối tượng phải có giấy phép môi trường thuộc thẩm quyền cấp phép của UBND cấp tỉnh nhưng không có giấy phép môi trường theo quy định. Theo đó, Công ty bị xử phạt vi phạm hành chính 320 triệu đồng.
Hình thức xử phạt bổ sung là đình chỉ hoạt động của nguồn phát sinh chất thải mà không có giấy phép môi trường của cơ sở trong thời hạn 4.5 tháng kể từ ngày nhận được quyết định xử phạt.
Đồng thời, buộcDNPthực hiện di dời đến địa điểm phù hợp với quy hoạch, phân vùng môi trường, khả năng chịu tải của môi trường được cấp có thẩm quyền phê duyệt do không phù hợp với quy hoạch tỉnh Đồng Nai thời kỳ 2021-2030, tầm nhìn đến năm 2050 (do KCN Biên Hòa 1 đã đưa ra khỏi quy hoạch KCN của tỉnh, đang thực hiện chuyển đổi công năng). Thời hạn thực hiện trước ngày 01/12/2025.
Được thành lập năm 1976,DNPHolding là tập đoàn đầu tư vào lĩnh vực nước sạch và môi trường, hệ sinh thái ngành nước, vật liệu xây dựng cho giai đoạn cận hoàn thiện công trình, sản phẩm gia dụng cao cấp và bao bì.
Hiện Doanh nghiệp có vốn điều lệ gần 1,410 tỷ đồng do ôngTrần Đức Huylàm Chủ tịch HĐQT. Năm 2025,DNPđặt kế hoạch kinh doanh với doanh thu hợp nhất 9,673 tỷ đồng, tăng 9% so với thực hiện năm 2024; trong khi lợi nhuận trước thuế 39 tỷ đồng, giảm 83%.
Về cơ cấu doanh thu,DNPđặt mục tiêu mảng nước sạch và môi trường đạt gần 1,500 tỷ đồng, tăng 8% so với năm trước; hệ sinh thái ngành nước là 3,616 tỷ đồng, tăng hơn 3%. Về sản phẩm gia dụng hơn 1,030 tỷ đồng, tăng gần 29%.
Đối với vật liệu xây dựng, tổng doanh thu ước đạt gần 2 ngàn tỷ đồng, tăng 15% so với năm 202; còn mảng bao bì có doanh thu 850 tỷ đồng, tăng 9%.","Thanh Tú","16:58 14/04/2025"
"DNP","Công ty Cổ phần DNP Holding Báo cáo tài chính Năm (Kỳ báo cáo từ 01/01/2024 đến 31/12/2024) năm 2024","https://vietstock.vn/2025/04/cong-ty-co-phan-dnp-holding-bao-cao-tai-chinh-nam-ky-bao-cao-tu-01-01-2024-den-31-12-2024-nam-2024-3118-1292987.htm","08/04/2025","Công ty Cổ phần DNP Holding Báo cáo tài chính Năm (Kỳ báo cáo từ 01/01/2024 đến 31/12/2024) năm 2024","",""
"DNP","DNP: Tài liệu họp Đại hội đồng cổ đông","https://vietstock.vn/2025/04/dnp-tai-lieu-hop-dai-hoi-dong-co-dong-737-1291999.htm","04/04/2025","DNP: Tài liệu họp Đại hội đồng cổ đông","",""
"DNP","DNP: CBTT nhận được đơn xin thôi giữ chức vụ của thành viên HĐQT","https://vietstock.vn/2025/04/dnp-cbtt-nhan-duoc-don-xin-thoi-giu-chuc-vu-cua-thanh-vien-hdqt-214-1291962.htm","04/04/2025","DNP: CBTT nhận được đơn xin thôi giữ chức vụ của thành viên HĐQT
.","",""
"DNP","DNP: Giải trình báo cáo tài chính năm 2024 Công ty Cổ phần DNP Holding","https://vietstock.vn/2025/04/dnp-giai-trinh-bao-cao-tai-chinh-nam-2024-cong-ty-co-phan-dnp-holding-737-1290503.htm","03/04/2025","DNP: Giải trình báo cáo tài chính năm 2024 Công ty Cổ phần DNP Holding
.","",""
