"symbol","title","url","date","content","author","publish_time"
"DTK","DTK: CBTT về việc chi trả cổ tức năm 2024","https://vietstock.vn/2025/05/dtk-cbtt-ve-viec-chi-tra-co-tuc-nam-2024-738-1305388.htm","06/05/2025","DTK: CBTT về việc chi trả cổ tức năm 2024
.","",""
"DTK","DTK: Báo cáo tài chính quý 1/2025","https://vietstock.vn/2025/05/dtk-bao-cao-tai-chinh-quy-1-2025-737-1304865.htm","05/05/2025","DTK: Báo cáo tài chính quý 1/2025","",""
"DTK","DTK: Báo cáo tài chính quý 1/2025 (công ty mẹ)","https://vietstock.vn/2025/05/dtk-bao-cao-tai-chinh-quy-1-2025-cong-ty-me-737-1304862.htm","05/05/2025","DTK: Báo cáo tài chính quý 1/2025 (công ty mẹ)","",""
"DTK","DTK: Nghị quyết Đại hội đồng cổ đông thường niên năm 2025","https://vietstock.vn/2025/04/dtk-nghi-quyet-dai-hoi-dong-co-dong-thuong-nien-nam-2025-737-1302029.htm","26/04/2025","DTK: Nghị quyết Đại hội đồng cổ đông thường niên năm 2025","",""
"DTK","DTK: Tài liệu họp Đại hội đồng cổ đông","https://vietstock.vn/2025/04/dtk-tai-lieu-hop-dai-hoi-dong-co-dong-737-1300261.htm","23/04/2025","DTK: Tài liệu họp Đại hội đồng cổ đông","",""
"DTK","DTK: Tài liệu họp Đại hội đồng cổ đông","https://vietstock.vn/2025/04/dtk-tai-lieu-hop-dai-hoi-dong-co-dong-737-1298756.htm","21/04/2025","DTK: Tài liệu họp Đại hội đồng cổ đông","",""
"DTK","DTK: Tài liệu họp Đại hội đồng cổ đông","https://vietstock.vn/2025/04/dtk-tai-lieu-hop-dai-hoi-dong-co-dong-737-1296947.htm","17/04/2025","DTK: Tài liệu họp Đại hội đồng cổ đông","",""
"DTK","DTK: Báo cáo thường niên 2024","https://vietstock.vn/2025/04/dtk-bao-cao-thuong-nien-2024-737-1295788.htm","15/04/2025","DTK: Báo cáo thường niên 2024","",""
"DTK","Tổng công ty Điện lực TKV - CTCP Báo cáo tình hình thanh toán gốc lãi Năm (Kỳ báo cáo từ 01/01/2024 đến 31/12/2024) năm 2024","https://vietstock.vn/2025/03/tong-cong-ty-dien-luc-tkv-ctcp-bao-cao-tinh-hinh-thanh-toan-goc-lai-nam-ky-bao-cao-tu-01-01-2024-den-31-12-2024-nam-2024-3118-1287696.htm","31/03/2025","Tổng công ty Điện lực TKV - CTCP Báo cáo tình hình thanh toán gốc lãi Năm (Kỳ báo cáo từ 01/01/2024 đến 31/12/2024) năm 2024","",""
"DTK","Tổng công ty Điện lực TKV - CTCP Báo cáo tài chính Năm (Kỳ báo cáo từ 01/01/2024 đến 31/12/2024) năm 2024","https://vietstock.vn/2025/03/tong-cong-ty-dien-luc-tkv-ctcp-bao-cao-tai-chinh-nam-ky-bao-cao-tu-01-01-2024-den-31-12-2024-nam-2024-3118-1288064.htm","31/03/2025","Tổng công ty Điện lực TKV - CTCP Báo cáo tài chính Năm (Kỳ báo cáo từ 01/01/2024 đến 31/12/2024) năm 2024","",""
"DTK","DTK: Báo cáo tài chính năm 2024","https://vietstock.vn/2025/03/dtk-bao-cao-tai-chinh-nam-2024-737-1287133.htm","28/03/2025","DTK: Báo cáo tài chính năm 2024","",""
"DTK","DTK: Báo cáo tài chính năm 2024 (Công ty mẹ)","https://vietstock.vn/2025/03/dtk-bao-cao-tai-chinh-nam-2024-cong-ty-me-737-1287127.htm","28/03/2025","DTK: Báo cáo tài chính năm 2024 (Công ty mẹ)","",""
"DTK","DTK: Tài liệu họp Đại hội đồng cổ đông","https://vietstock.vn/2025/03/dtk-tai-lieu-hop-dai-hoi-dong-co-dong-737-1280203.htm","11/03/2025","DTK: Tài liệu họp Đại hội đồng cổ đông","",""
