"symbol","title","url","date","content","author","publish_time"
"DXP","DXP: Báo cáo tài chính quý 1/2025","https://vietstock.vn/2025/04/dxp-bao-cao-tai-chinh-quy-1-2025-737-1299667.htm","22/04/2025","DXP: Báo cáo tài chính quý 1/2025","",""
"DXP","DXP: Ngày đăng ký cuối cùng Đại hội đồng cổ đông thường niên năm 2025","https://vietstock.vn/2025/04/dxp-ngay-dang-ky-cuoi-cung-dai-hoi-dong-co-dong-thuong-nien-nam-2025-737-1298796.htm","21/04/2025","DXP: Ngày đăng ký cuối cùng Đại hội đồng cổ đông thường niên năm 2025
Thông báo ngày đăng ký cuối cùng lập danh sách cổ đông đối với cổ phiếuDXPcủa CTCP Cảng Đoạn Xá như sau:1. Ngày đăng ký cuối cùng: 05/05/20252. Ngày giao dịch không hưởng quyền: 29/04/20253. Lý do và mục đích:* Đại hội đồng cổ đông thường niên năm 2025- Tỷ lệ phân bổ quyền: 01 cổ phiếu – 01 quyền biểu quyết- Thời gian họp: 06/06/2025- Địa điểm tổ chức họp: Trụ sở Công ty – Số 15 đường Ngô Quyền, phường Vạn Mỹ, quận Ngô Quyền, thành phố Hải Phòng, Việt Nam.- Nội dung họp: Các nội dung thuộc thẩm quyền của Đại hội đồng cổ đông theo quy định của pháp luật và Điều lệ Công ty.","",""
"DXP","DXP: Nghị quyết HĐQT về chốt quyền tham dự Đại hội đồng cổ đông năm 2025","https://vietstock.vn/2025/04/dxp-nghi-quyet-hdqt-ve-chot-quyen-tham-du-dai-hoi-dong-co-dong-nam-2025-737-1296386.htm","16/04/2025","DXP: Nghị quyết HĐQT về chốt quyền tham dự Đại hội đồng cổ đông năm 2025
.","",""
"DXP","DXP: Báo cáo thường niên 2024","https://vietstock.vn/2025/04/dxp-bao-cao-thuong-nien-2024-737-1292956.htm","08/04/2025","DXP: Báo cáo thường niên 2024","",""
"DXP","DXP: Báo cáo tài chính năm 2024","https://vietstock.vn/2025/03/dxp-bao-cao-tai-chinh-nam-2024-737-1287134.htm","28/03/2025","DXP: Báo cáo tài chính năm 2024","",""
"DXP","Cảng Đoạn Xá muốn chi hơn 50 tỷ đồng thành lập công ty con","https://vietstock.vn/2025/02/cang-doan-xa-muon-chi-hon-50-ty-dong-thanh-lap-cong-ty-con-737-1272516.htm","17/02/2025","Cảng Đoạn Xá muốn chi hơn 50 tỷ đồng thành lập công ty con
HĐQT CTCP Cảng Đoạn Xá (HNX:DXP) vừa thống nhất thông qua việc góp vốn thành lập CTCP Vận tải biển Cảng Đoạn Xá với số vốn góp dự kiến hơn 50 tỷ đồng, chiếm 75% vốn điều lệ.
Công ty mới này có trụ sở tại số 15 Ngô Quyền, phường Vạn Mỹ, quận Ngô Quyền, Hải Phòng. Ngành nghề kinh doanh chính là cho thuê máy móc, thiết bị và đồ dùng hữu hình khác không kèm người điều khiển (cho thuê tàu biển).
Vốn điều lệ 67 tỷ đồng, trong đó,DXPdự kiến góp hơn 50 tỷ đồng, chiếm 75% vốn điều lệ công ty mới. Thời gian góp vốn trong quý 1-2/2025. Nếu thành công, đây sẽ là công ty con đầu tiên củaDXP.
Cảng Đoạn Xá muốn thành lập công ty con trong bối cảnh Doanh nghiệp có kết quả hoạt động kinh doanh đi lùi trong quý cuối năm 2024.
Cụ thể, doanh thu thuần quý 4 đạt gần 184 tỷ đồng, lãi ròng hơn 17 tỷ đồng, lần lượt giảm 44% và 28% so với cùng kỳ. Ngoài doanh thu giảm, tổng chi phí trong kỳ đội lên hơn 8 tỷ đồng, gấp 3 lần cùng kỳ cũng là nguyên nhân khiến lợi nhuậnDXPgiảm.
Cả năm 2024, Doanh nghiệp mang về doanh thu thuần gần 682 tỷ đồng, tăng 66%, mức cao kỷ lục củaDXP; trong khi lãi ròng hơn 54 tỷ đồng, giảm 3%. Với kết quả này,DXPthực hiện được lần lượt 87% và 90% kế hoạch năm.
[Chú thích ảnh]: Nguồn:VietstockFinance
Tại cuối năm 2024, tổng tài sảnDXPđạt gần 1,008 tỷ đồng, tăng nhẹ 2% so với đầu năm. Với gần 538 tỷ đồng là tài sản ngắn hạn, tăng 4%. Các khoản phải thu ngắn hạn tăng lên hơn 92 tỷ đồng, gấp hơn 3 lần đầu năm. Tồn kho tăng nhẹ 4% lên hơn 5 tỷ đồng. Trong khi lượng tiền và tương đương tiền hơn 28 tỷ đồng, giảm sâu 90%.
Nợ phải trả còn hơn 145 tỷ đồng, không biến động so với đầu năm. Đáng chú ý,DXPphát sinh khoản vay tài chính ngắn hạn gần 93 tỷ đồng, chiếm 64% tổng nợ và không ghi nhận khoản vay dài hạn.","Thanh Tú","18:00 17/02/2025"
"DXP","DXP: Nghị quyết Hội đồng quản trị","https://vietstock.vn/2025/02/dxp-nghi-quyet-hoi-dong-quan-tri-737-1272438.htm","17/02/2025","DXP: Nghị quyết Hội đồng quản trị
.","",""
"DXP","DXP: Lê Mạnh Hoàn - Ủy viên HĐQT - đã bán 41,580 CP","https://vietstock.vn/2025/02/dxp-le-manh-hoan-uy-vien-hdqt-da-ban-41580-cp-739-1271509.htm","13/02/2025","DXP: Lê Mạnh Hoàn - Ủy viên HĐQT - đã bán 41,580 CP
- Tên cá nhân thực hiện giao dịch:Lê Mạnh Hoàn- Chức vụ hiện nay tại TCNY: Ủy viên HĐQT- Mã chứng khoán:DXP- Số lượng cổ phiếu nắm giữ trước khi thực hiện giao dịch: 41,580 CP (tỷ lệ 0.07%)- Số lượng cổ phiếu đăng ký bán: 41,580 CP- Số lượng cổ phiếu đã bán: 41,580 CP- Số lượng cổ phiếu nắm giữ sau khi thực hiện giao dịch: 0 CP (tỷ lệ 0%)- Ngày bắt đầu giao dịch: 11/11/2024- Ngày kết thúc giao dịch: 10/12/2024.","",""
"DXP","DXP: Báo cáo quản trị công ty năm 2024","https://vietstock.vn/2025/02/dxp-bao-cao-quan-tri-cong-ty-nam-2024-737-1269661.htm","06/02/2025","DXP: Báo cáo quản trị công ty năm 2024","",""
"DXP","DXP: Đính chính Báo cáo tài chính năm 2023","https://vietstock.vn/2025/02/dxp-dinh-chinh-bao-cao-tai-chinh-nam-2023-737-1269633.htm","06/02/2025","DXP: Đính chính Báo cáo tài chính năm  2023","",""
"DXP","DXP: Đính chính Báo cáo tài chính bán niên 2024","https://vietstock.vn/2025/02/dxp-dinh-chinh-bao-cao-tai-chinh-ban-nien-2024-737-1268195.htm","04/02/2025","DXP: Đính chính Báo cáo tài chính bán niên 2024","",""
"DXP","DXP: Báo cáo tài chính quý 4/2024","https://vietstock.vn/2025/01/dxp-bao-cao-tai-chinh-quy-4-2024-737-1264902.htm","22/01/2025","DXP: Báo cáo tài chính quý 4/2024","",""
