"symbol","title","url","date","content","author","publish_time"
"GDW","GDW: Báo cáo tài chính quý 1/2025","https://vietstock.vn/2025/04/gdw-bao-cao-tai-chinh-quy-1-2025-737-1301455.htm","25/04/2025","GDW: Báo cáo tài chính quý 1/2025","",""
"GDW","GDW: Tài liệu họp Đại hội đồng cổ đông","https://vietstock.vn/2025/04/gdw-tai-lieu-hop-dai-hoi-dong-co-dong-737-1298677.htm","21/04/2025","GDW: Tài liệu họp Đại hội đồng cổ đông","",""
"GDW","GDW: Nghị quyết Hội đồng quản trị","https://vietstock.vn/2025/04/gdw-nghi-quyet-hoi-dong-quan-tri-737-1295813.htm","15/04/2025","GDW: Nghị quyết Hội đồng quản trị
.","",""
"GDW","GDW: Công văn giải trình báo cáo tài chính đã kiểm toán 2024","https://vietstock.vn/2025/04/gdw-cong-van-giai-trinh-bao-cao-tai-chinh-da-kiem-toan-2024-737-1290795.htm","03/04/2025","GDW: Công văn giải trình báo cáo tài chính đã kiểm toán 2024
.","",""
"GDW","GDW: Báo cáo thường niên 2024","https://vietstock.vn/2025/04/gdw-bao-cao-thuong-nien-2024-737-1289898.htm","02/04/2025","GDW: Báo cáo thường niên 2024","",""
"GDW","GDW: Báo cáo tài chính năm 2024","https://vietstock.vn/2025/04/gdw-bao-cao-tai-chinh-nam-2024-737-1289897.htm","02/04/2025","GDW: Báo cáo tài chính năm 2024","",""
"GDW","GDW: Ngày đăng ký cuối cùng Đại hội đồng cổ đông thường niên năm 2025","https://vietstock.vn/2025/04/gdw-ngay-dang-ky-cuoi-cung-dai-hoi-dong-co-dong-thuong-nien-nam-2025-737-1288789.htm","01/04/2025","GDW: Ngày đăng ký cuối cùng Đại hội đồng cổ đông thường niên năm 2025
Thông báo ngày đăng ký cuối cùng lập danh sách cổ đông đối với cổ phiếuGDWcủa CTCP Cấp nước Gia Định như sau:1. Ngày đăng ký cuối cùng: 14/04/20252. Ngày giao dịch không hưởng quyền: 11/04/20253. Lý do và mục đích:* Đại hội đồng cổ đông thường niên năm 2025- Tỷ lệ phân bổ quyền: 1:1 (1 cổ phiếu - 1 quyền biểu quyết)- Thời gian họp: 08/05/2025- Địa điểm tổ chức họp: CTCP Cấp nước Gia Định, địa chỉ: 2Bis Nơ Trang Long, phường 14. quận Bình Thạnh, TP. Hồ Chí Minh.- Nội dung họp: Thông báo trong thư mời họp Đại hội cổ đông thường niên năm 2025 (Tài liệu họp sẽ được đăng tải tại http://www.capnuocgiadinh.vn trước ngày 17/04/2025).","",""
"GDW","GDW: Nghị quyết Hội đồng quản trị","https://vietstock.vn/2025/03/gdw-nghi-quyet-hoi-dong-quan-tri-737-1288251.htm","31/03/2025","GDW: Nghị quyết Hội đồng quản trị
.","",""
"GDW","GDW: Công bố thông tin về việc thay đổi ngày đăng ký cuối cùng thực hiện quyền sở hữu cổ phiếu của công ty cổ phần cấp nước gia định","https://vietstock.vn/2025/03/gdw-cong-bo-thong-tin-ve-viec-thay-doi-ngay-dang-ky-cuoi-cung-thuc-hien-quyen-so-huu-co-phieu-cua-cong-ty-co-phan-cap-nuoc-gia-dinh-737-1286071.htm","26/03/2025","GDW: Công bố thông tin về việc thay đổi ngày đăng ký cuối cùng thực hiện quyền sở hữu cổ phiếu của công ty cổ phần cấp nước gia định
.","",""
"GDW","GDW: Công bố thông tin về việc ký phụ lục hợp đồng điều chỉnh đơn giá mua bán sỉ nước sạch 2024","https://vietstock.vn/2025/03/gdw-cong-bo-thong-tin-ve-viec-ky-phu-luc-hop-dong-dieu-chinh-don-gia-mua-ban-si-nuoc-sach-2024-739-1276963.htm","03/03/2025","GDW: Công bố thông tin về việc ký phụ lục hợp đồng điều chỉnh đơn giá mua bán sỉ nước sạch 2024
.","",""
"GDW","GDW: Thông báo ngày giao dịch cuối cùng thực hiện quyền sở hữu cổ phiếu (tham gia đại hội cổ đông thường niên 2025)","https://vietstock.vn/2025/02/gdw-thong-bao-ngay-giao-dich-cuoi-cung-thuc-hien-quyen-so-huu-co-phieu-tham-gia-dai-hoi-co-dong-thuong-nien-2025-737-1276017.htm","28/02/2025","GDW: Thông báo ngày giao dịch cuối cùng thực hiện quyền sở hữu cổ phiếu (tham gia đại hội cổ đông thường niên 2025)
.","",""
"GDW","GDW: Bổ nhiệm Bà Cao Thị Ngọc Mai giữ chức vụ Trưởng Ban kiểm toán nội bộ","https://vietstock.vn/2025/02/gdw-bo-nhiem-ba-cao-thi-ngoc-mai-giu-chuc-vu-truong-ban-kiem-toan-noi-bo-214-1276001.htm","28/02/2025","GDW: Bổ nhiệm Bà Cao Thị Ngọc Mai giữ chức vụ Trưởng Ban kiểm toán nội bộ","","08:49 28/02/2025"
"GDW","GDW: Nghị quyết Hội đồng quản trị","https://vietstock.vn/2025/02/gdw-nghi-quyet-hoi-dong-quan-tri-737-1274449.htm","24/02/2025","GDW: Nghị quyết Hội đồng quản trị
.","",""
"GDW","GDW: Báo cáo tài chính quý 4/2024","https://vietstock.vn/2025/01/gdw-bao-cao-tai-chinh-quy-4-2024-737-1264859.htm","22/01/2025","GDW: Báo cáo tài chính quý 4/2024","",""
"GDW","GDW: Báo cáo quản trị công ty năm 2024","https://vietstock.vn/2025/01/gdw-bao-cao-quan-tri-cong-ty-nam-2024-737-1264265.htm","21/01/2025","GDW: Báo cáo quản trị công ty năm 2024","",""
"GDW","GDW: Công bố thông tin về thông báo kiểm toán tại công ty cổ phần cấp nước gia định","https://vietstock.vn/2024/12/gdw-cong-bo-thong-tin-ve-thong-bao-kiem-toan-tai-cong-ty-co-phan-cap-nuoc-gia-dinh-737-1254731.htm","24/12/2024","GDW: Công bố thông tin về thông báo kiểm toán tại công ty cổ phần cấp nước gia định
.","",""
"GDW","GDW: Báo cáo thay đổi sở hữu cổ phiếu của cổ đông lớn - AMERICA LLC","https://vietstock.vn/2024/12/gdw-bao-cao-thay-doi-so-huu-co-phieu-cua-co-dong-lon-america-llc-739-1253134.htm","17/12/2024","GDW: Báo cáo thay đổi sở hữu cổ phiếu của cổ đông lớn - AMERICA LLC
- Tên cá nhân thực hiện giao dịch: AMERICA LLC- Mã chứng khoán:GDW- Số lượng cổ phiếu nắm giữ trước khi thực hiện giao dịch: 568,000 CP (tỷ lệ 5.98%)- Số lượng cổ phiếu đã mua: 9,900 CP- Số lượng cổ phiếu nắm giữ sau khi thực hiện giao dịch: 577,900 CP (tỷ lệ 6.08%)- Lý do thay đổi sở hữu: Tăng tỷ trọng- Ngày giao dịch thay đổi tỷ lệ sở hữu: 10/12/2024.","",""
"GDW","GDW: Ngày đăng ký cuối cùng trả cổ tức bằng tiền mặt","https://vietstock.vn/2024/11/gdw-ngay-dang-ky-cuoi-cung-tra-co-tuc-bang-tien-mat-737-1247939.htm","26/11/2024","GDW: Ngày đăng ký cuối cùng trả cổ tức bằng tiền mặt
Thông báo ngày đăng ký cuối cùng lập danh sách cổ đông đối với cổ phiếuGDWcủa CTCP Cấp nước Gia Định như sau:1. Ngày đăng ký cuối cùng: 05/12/20242. Ngày giao dịch không hưởng quyền: 04/12/20243. Lý do và mục đích:* Trả cổ tức bằng tiền:- Hình thức trả: Chi trả cổ tức phần lợi nhuận giữ lại chưa phân phối của năm 2021 trở về trước bằng tiền          - Tỷ lệ thực hiện: 3.62%/cổ phiếu (01 cổ phiếu được nhận 362 đồng)- Thời gian thực hiện: 20/12/2024- Địa điểm thực hiện:+ Chứng khoán chưa lưu ký: Người sở hữu chứng khoán làm thủ tục nhận cổ tức tại CTCP Cấp Nước Gia Định. Địa chỉ: 2Bis Nơ Trang Long, P.14, Quận Bình Thạnh,TP. HCM(vào các ngày làm việc trong tuần), bắt đầu từ ngày 20/12/2024 và xuất trình chứng minh nhân dân.+ Chứng khoán lưu ký: Người sở hữu chứng khoán làm thủ tục nhận cổ tức tại các Thành viên lưu ký nơi mở tài khoản lưu ký.","",""
"GDW","GDW: Công bố ngày đăng ký cuối cùng thực hiện quyền của cổ đông hiên hữu ( trả cổ tức lần 2 năm 2024)","https://vietstock.vn/2024/11/gdw-cong-bo-ngay-dang-ky-cuoi-cung-thuc-hien-quyen-cua-co-dong-hien-huu-tra-co-tuc-lan-2-nam-2024-737-1247628.htm","25/11/2024","GDW: Công bố ngày đăng ký cuối cùng thực hiện quyền của cổ đông hiên hữu ( trả cổ tức lần 2 năm 2024)
.","",""
"GDW","GDW: Báo cáo tài chính quý 3/2024","https://vietstock.vn/2024/10/gdw-bao-cao-tai-chinh-quy-3-2024-737-1237530.htm","18/10/2024","GDW: Báo cáo tài chính quý 3/2024","",""
"GDW","GDW: Báo cáo tài chính bán niên năm 2024","https://vietstock.vn/2024/08/gdw-bao-cao-tai-chinh-ban-nien-nam-2024-737-1219632.htm","15/08/2024","GDW: Báo cáo tài chính bán niên năm 2024","",""
