"symbol","title","url","date","content","author","publish_time"
"HOM","HOM: Nghị quyết Đại hội đồng cổ đông thường niên năm 2025","https://vietstock.vn/2025/04/hom-nghi-quyet-dai-hoi-dong-co-dong-thuong-nien-nam-2025-737-1302106.htm","26/04/2025","HOM: Nghị quyết Đại hội đồng cổ đông thường niên năm 2025","",""
"HOM","HOM: Tài liệu họp Đại hội đồng cổ đông","https://vietstock.vn/2025/04/hom-tai-lieu-hop-dai-hoi-dong-co-dong-737-1301713.htm","25/04/2025","HOM: Tài liệu họp Đại hội đồng cổ đông","",""
"HOM","HOM: Báo cáo tài chính quý 1/2025","https://vietstock.vn/2025/04/hom-bao-cao-tai-chinh-quy-1-2025-737-1299645.htm","22/04/2025","Lỗi khi lấy nội dung","",""
"HOM","HOM: Báo cáo thường niên 2024","https://vietstock.vn/2025/04/hom-bao-cao-thuong-nien-2024-737-1296276.htm","16/04/2025","HOM: Báo cáo thường niên 2024","",""
"HOM","HOM: V/v báo cáo biện pháp và lộ trình khắc phục tình trạng chứng khoán bị cảnh báo, chứng khoán bị kiểm soát","https://vietstock.vn/2025/04/hom-v-v-bao-cao-bien-phap-va-lo-trinh-khac-phuc-tinh-trang-chung-khoan-bi-canh-bao-chung-khoan-bi-kiem-soat-830-1292003.htm","04/04/2025","HOM: V/v báo cáo biện pháp và lộ trình khắc phục tình trạng chứng khoán bị cảnh báo, chứng khoán bị kiểm soát
.","",""
"HOM","HOM: Tài liệu họp Đại hội đồng cổ đông","https://vietstock.vn/2025/04/hom-tai-lieu-hop-dai-hoi-dong-co-dong-737-1290846.htm","03/04/2025","HOM: Tài liệu họp Đại hội đồng cổ đông","",""
"HOM","HOM: Quyết định duy trì diện bị cảnh báo; Quyết định đưa vào diện bị kiểm soát; Thông báo tình trạng chứng khoán","https://vietstock.vn/2025/03/hom-quyet-dinh-duy-tri-dien-bi-canh-bao;-quyet-dinh-dua-vao-dien-bi-kiem-soat;-thong-bao-tinh-trang-chung-khoan-830-1286956.htm","28/03/2025","HOM: Quyết định duy trì diện bị cảnh báo; Quyết định đưa vào diện bị kiểm soát; Thông báo tình trạng chứng khoán","",""
"HOM","HOM: Quyết định chấm dứt hoạt động Chi nhánh Công ty CP Xi măng Vicem Hoàng Mai - Xí nghiệp Dịch vụ Công nghiệp","https://vietstock.vn/2025/03/hom-quyet-dinh-cham-dut-hoat-dong-chi-nhanh-cong-ty-cp-xi-mang-vicem-hoang-mai-xi-nghiep-dich-vu-cong-nghiep-737-1286489.htm","27/03/2025","HOM: Quyết định chấm dứt hoạt động Chi nhánh Công ty CP Xi măng Vicem Hoàng Mai - Xí nghiệp Dịch vụ Công nghiệp
.","",""
"HOM","HOM: Báo cáo biện pháp và lộ trình khắc phục tình trạng chứng khoán bị cảnh báo trong năm 2025","https://vietstock.vn/2025/03/hom-bao-cao-bien-phap-va-lo-trinh-khac-phuc-tinh-trang-chung-khoan-bi-canh-bao-trong-nam-2025-830-1286148.htm","26/03/2025","HOM: Báo cáo biện pháp và lộ trình khắc phục tình trạng chứng khoán bị cảnh báo trong năm 2025
.","",""
"HOM","HOM: Báo cáo tài chính năm 2024","https://vietstock.vn/2025/03/hom-bao-cao-tai-chinh-nam-2024-737-1286133.htm","26/03/2025","HOM: Báo cáo tài chính năm 2024","",""
"HOM","HOM: Tài liệu họp Đại hội đồng cổ đông","https://vietstock.vn/2025/03/hom-tai-lieu-hop-dai-hoi-dong-co-dong-737-1284955.htm","24/03/2025","HOM: Tài liệu họp Đại hội đồng cổ đông","",""
