"symbol","title","url","date","content","author","publish_time"
"HUT","HUT: Báo cáo tài chính quý 1/2025 (công ty mẹ)","https://vietstock.vn/2025/05/hut-bao-cao-tai-chinh-quy-1-2025-cong-ty-me-737-1304830.htm","05/05/2025","HUT: Báo cáo tài chính quý 1/2025 (công ty mẹ)","",""
"HUT","HUT: Báo cáo tài chính quý 1/2025","https://vietstock.vn/2025/05/hut-bao-cao-tai-chinh-quy-1-2025-737-1304822.htm","05/05/2025","HUT: Báo cáo tài chính quý 1/2025","",""
"HUT","HUT: Báo cáo thường niên 2024","https://vietstock.vn/2025/04/hut-bao-cao-thuong-nien-2024-737-1299726.htm","22/04/2025","HUT: Báo cáo thường niên 2024","",""
"HUT","HUT: Thay đổi người công bố thông tin","https://vietstock.vn/2025/04/hut-thay-doi-nguoi-cong-bo-thong-tin-214-1298978.htm","21/04/2025","HUT: Thay đổi người công bố thông tin","",""
"HUT","HUT: Thông qua việc thay đổi Người được ủy quyền Công bố thông tin và Người phụ trách quản trị của Công ty","https://vietstock.vn/2025/04/hut-thong-qua-viec-thay-doi-nguoi-duoc-uy-quyen-cong-bo-thong-tin-va-nguoi-phu-trach-quan-tri-cua-cong-ty-214-1298992.htm","21/04/2025","HUT: Thông qua việc thay đổi Người được ủy quyền Công bố thông tin và Người phụ trách quản trị của Công ty
.","",""
"HUT","CTCP Tasco Báo cáo tài chính Năm (Kỳ báo cáo từ 01/01/2024 đến 31/12/2024) năm 2024","https://vietstock.vn/2025/04/ctcp-tasco-bao-cao-tai-chinh-nam-ky-bao-cao-tu-01-01-2024-den-31-12-2024-nam-2024-3118-1291992.htm","04/04/2025","CTCP Tasco Báo cáo tài chính Năm (Kỳ báo cáo từ 01/01/2024 đến 31/12/2024) năm 2024","",""
"HUT","CTCP Tasco Báo cáo tình hình thanh toán gốc lãi Năm (Kỳ báo cáo từ 01/01/2024 đến 31/12/2024) năm 2024","https://vietstock.vn/2025/04/ctcp-tasco-bao-cao-tinh-hinh-thanh-toan-goc-lai-nam-ky-bao-cao-tu-01-01-2024-den-31-12-2024-nam-2024-3118-1291139.htm","03/04/2025","CTCP Tasco Báo cáo tình hình thanh toán gốc lãi Năm (Kỳ báo cáo từ 01/01/2024 đến 31/12/2024) năm 2024","",""
"HUT","HUT: Báo cáo tài chính năm 2024","https://vietstock.vn/2025/04/hut-bao-cao-tai-chinh-nam-2024-737-1289733.htm","02/04/2025","HUT: Báo cáo tài chính năm 2024","",""
"HUT","HUT: Tài liệu họp Đại hội đồng cổ đông","https://vietstock.vn/2025/04/hut-tai-lieu-hop-dai-hoi-dong-co-dong-737-1289673.htm","02/04/2025","HUT: Tài liệu họp Đại hội đồng cổ đông","",""
"HUT","HUT: Thông qua việc cập nhật hồ sơ đăng ký chào bán cổ phiếu ra công chúng","https://vietstock.vn/2025/04/hut-thong-qua-viec-cap-nhat-ho-so-dang-ky-chao-ban-co-phieu-ra-cong-chung-739-1289674.htm","02/04/2025","HUT: Thông qua việc cập nhật hồ sơ đăng ký chào bán cổ phiếu ra công chúng
.","",""
"HUT","HUT: Báo cáo tài chính năm 2024 (Công ty mẹ)","https://vietstock.vn/2025/04/hut-bao-cao-tai-chinh-nam-2024-cong-ty-me-737-1289656.htm","02/04/2025","HUT: Báo cáo tài chính năm 2024 (Công ty mẹ)","",""
