"symbol","title","url","date","content","author","publish_time"
"ICG","ICG: Báo cáo tài chính quý 1/2025 (công ty mẹ)","https://vietstock.vn/2025/04/icg-bao-cao-tai-chinh-quy-1-2025-cong-ty-me-737-1302055.htm","26/04/2025","ICG: Báo cáo tài chính quý 1/2025 (công ty mẹ)","",""
"ICG","ICG: Báo cáo tài chính quý 1/2025","https://vietstock.vn/2025/04/icg-bao-cao-tai-chinh-quy-1-2025-737-1302007.htm","26/04/2025","ICG: Báo cáo tài chính quý 1/2025","",""
"ICG","ICG: Nghị quyết Đại hội đồng cổ đông thường niên năm 2025","https://vietstock.vn/2025/04/icg-nghi-quyet-dai-hoi-dong-co-dong-thuong-nien-nam-2025-737-1302004.htm","26/04/2025","ICG: Nghị quyết Đại hội đồng cổ đông thường niên năm 2025","",""
"ICG","ICG: Báo cáo thường niên 2024","https://vietstock.vn/2025/04/icg-bao-cao-thuong-nien-2024-737-1295808.htm","15/04/2025","ICG: Báo cáo thường niên 2024","",""
"ICG","ICG: Tài liệu họp Đại hội đồng cổ đông","https://vietstock.vn/2025/04/icg-tai-lieu-hop-dai-hoi-dong-co-dong-737-1291979.htm","04/04/2025","ICG: Tài liệu họp Đại hội đồng cổ đông","",""
"ICG","ICG: Báo cáo tài chính năm 2024","https://vietstock.vn/2025/04/icg-bao-cao-tai-chinh-nam-2024-737-1290837.htm","03/04/2025","ICG: Báo cáo tài chính năm 2024","",""
"ICG","ICG: Báo cáo tài chính năm 2024 (Công ty mẹ)","https://vietstock.vn/2025/04/icg-bao-cao-tai-chinh-nam-2024-cong-ty-me-737-1290786.htm","03/04/2025","ICG: Báo cáo tài chính năm 2024 (Công ty mẹ)","",""
"ICG","ICG: Ngày đăng ký cuối cùng Đại hội đồng cổ đông thường niên năm 2025","https://vietstock.vn/2025/02/icg-ngay-dang-ky-cuoi-cung-dai-hoi-dong-co-dong-thuong-nien-nam-2025-737-1275695.htm","27/02/2025","ICG: Ngày đăng ký cuối cùng Đại hội đồng cổ đông thường niên năm 2025
Thông báo ngày đăng ký cuối cùng lập danh sách cổ đông đối với cổ phiếuICGcủa CTCP Xây dựng Sông Hồng như sau:1. Ngày đăng ký cuối cùng: 18/03/20252. Ngày giao dịch không hưởng quyền: 17/03/20253. Lý do và mục đích:* Đại hội đồng cổ đông thường niên năm 2025- Tỷ lệ phân bổ quyền: 01 cổ phiếu – 01 quyền biểu quyết- Thời gian họp: Dự kiến ngày 25/04/2025.- Địa điểm tổ chức họp: Công ty sẽ thông báo sau.- Nội dung họp: Công ty sẽ thông báo sau.","",""
"ICG","ICG: Thông báo về ngày chốt danh sách họp ĐHĐCĐ thường niên năm 2025","https://vietstock.vn/2025/02/icg-thong-bao-ve-ngay-chot-danh-sach-hop-dhdcd-thuong-nien-nam-2025-737-1274685.htm","25/02/2025","ICG: Thông báo về ngày chốt danh sách họp ĐHĐCĐ thường niên năm 2025
.","",""
"ICG","ICG: Thông báo về ngày chốt danh sách họp đại hội đồng cổ đông thường niên năm 2025","https://vietstock.vn/2025/02/icg-thong-bao-ve-ngay-chot-danh-sach-hop-dai-hoi-dong-co-dong-thuong-nien-nam-2025-737-1275357.htm","25/02/2025","ICG: Thông báo về ngày chốt danh sách họp đại hội đồng cổ đông thường niên năm 2025
.","",""
"ICG","ICG: Thay đổi giấy đăng ký kinh doanh","https://vietstock.vn/2025/01/icg-thay-doi-giay-dang-ky-kinh-doanh-737-1266309.htm","24/01/2025","ICG: Thay đổi giấy đăng ký kinh doanh","",""
"ICG","ICG: Báo cáo quản trị công ty năm 2024","https://vietstock.vn/2025/01/icg-bao-cao-quan-tri-cong-ty-nam-2024-737-1264189.htm","21/01/2025","ICG: Báo cáo quản trị công ty năm 2024","",""
"ICG","ICG: Báo cáo tài chính quý 4/2024 (công ty mẹ)","https://vietstock.vn/2025/01/icg-bao-cao-tai-chinh-quy-4-2024-cong-ty-me-737-1262818.htm","17/01/2025","ICG: Báo cáo tài chính quý 4/2024 (công ty mẹ)","",""
"ICG","ICG: Báo cáo tài chính quý 4/2024","https://vietstock.vn/2025/01/icg-bao-cao-tai-chinh-quy-4-2024-737-1262640.htm","16/01/2025","ICG: Báo cáo tài chính quý 4/2024","",""
