"symbol","title","url","date","content","author","publish_time"
"KMT","KMT: Thay đổi nhân sự","https://vietstock.vn/2025/04/kmt-thay-doi-nhan-su-214-1301585.htm","25/04/2025","KMT: Thay đổi nhân sự","",""
"KMT","KMT: Báo cáo tài chính quý 1/2025","https://vietstock.vn/2025/04/kmt-bao-cao-tai-chinh-quy-1-2025-737-1300010.htm","23/04/2025","KMT: Báo cáo tài chính quý 1/2025","",""
"KMT","KMT: Nghị quyết Đại hội đồng cổ đông thường niên năm 2025","https://vietstock.vn/2025/04/kmt-nghi-quyet-dai-hoi-dong-co-dong-thuong-nien-nam-2025-737-1299252.htm","22/04/2025","KMT: Nghị quyết Đại hội đồng cổ đông thường niên năm 2025","",""
"KMT","KMT: Nghị quyết Hội đồng quản trị","https://vietstock.vn/2025/04/kmt-nghi-quyet-hoi-dong-quan-tri-737-1295778.htm","15/04/2025","KMT: Nghị quyết Hội đồng quản trị
.","",""
"KMT","KMT: Tài liệu họp Đại hội đồng cổ đông","https://vietstock.vn/2025/03/kmt-tai-lieu-hop-dai-hoi-dong-co-dong-737-1286530.htm","27/03/2025","KMT: Tài liệu họp Đại hội đồng cổ đông","",""
"KMT","KMT: Báo cáo thường niên 2024","https://vietstock.vn/2025/03/kmt-bao-cao-thuong-nien-2024-737-1284241.htm","21/03/2025","KMT: Báo cáo thường niên 2024","",""
"KMT","KMT: Báo cáo tài chính năm 2024","https://vietstock.vn/2025/03/kmt-bao-cao-tai-chinh-nam-2024-737-1278001.htm","05/03/2025","KMT: Báo cáo tài chính năm 2024","",""
"KMT","KMT: Ngày đăng ký cuối cùng để thực hiện quyền dự Đại hội đồng cổ đông năm 2025","https://vietstock.vn/2025/02/kmt-ngay-dang-ky-cuoi-cung-de-thuc-hien-quyen-du-dai-hoi-dong-co-dong-nam-2025-737-1274021.htm","21/02/2025","KMT: Ngày đăng ký cuối cùng để thực hiện quyền dự Đại hội đồng cổ đông năm 2025
.","",""
"KMT","KMT: Thông báo thay đổi Giấy chứng nhận đăng ký hoạt động Chi nhánh Công ty CP Kim Khí Miền Trung tại Thành phố Hồ chí Minh","https://vietstock.vn/2025/02/kmt-thong-bao-thay-doi-giay-chung-nhan-dang-ky-hoat-dong-chi-nhanh-cong-ty-cp-kim-khi-mien-trung-tai-thanh-pho-ho-chi-minh-737-1274022.htm","21/02/2025","KMT: Thông báo thay đổi Giấy chứng nhận đăng ký hoạt động Chi nhánh Công ty CP Kim Khí Miền Trung tại Thành phố Hồ chí Minh
.","",""
"KMT","KMT: Ngày đăng ký cuối cùng Đại hội đồng cổ đông thường niên năm 2025","https://vietstock.vn/2025/02/kmt-ngay-dang-ky-cuoi-cung-dai-hoi-dong-co-dong-thuong-nien-nam-2025-737-1273615.htm","20/02/2025","KMT: Ngày đăng ký cuối cùng Đại hội đồng cổ đông thường niên năm 2025
Thông báo ngày đăng ký cuối cùng lập danh sách cổ đông đối với cổ phiếuKMTcủa CTCP Kim khí Miền Trung như sau:1. Ngày đăng ký cuối cùng: 10/03/20252. Ngày giao dịch không hưởng quyền: 07/03/20253. Lý do và mục đích:* Đại hội đồng cổ đông thường niên năm 2025- Tỷ lệ phân bổ quyền: 01 cổ phiếu - 01 quyền biểu quyết- Thời gian họp: Dự kiến ngày 17/04/2025- Địa điểm tổ chức họp: Trụ sở Công ty, số 69 Quang Trung, P. Hải Châu, Q. Hải Châu, TP. Đà nẵng- Nội dung họp: + Thông qua kết quả kinh doanh, đầu tư năm 2024 và kế hoạch năm 2025;+ Thông qua báo cáo của Hội đồng quản trị, Ban kiểm soát năm 2024;+ Thông qua phương án phân phối lợi nhuận và trả cổ tức 2024;+ Bầu thành viên Hội đồng quản trị, thành viên Ban Kiểm soát Công ty CP Kim khí Miền Trung nhiệm kỳ 2025-2030;+ Và các nội dung khác thuộc thẩm quyền của Đại hội đồng cổ đông.","",""
