"symbol","title","url","date","content","author","publish_time"
"L14","L14: Nghị quyết Đại hội đồng cổ đông thường niên năm 2025","https://vietstock.vn/2025/04/l14-nghi-quyet-dai-hoi-dong-co-dong-thuong-nien-nam-2025-737-1301989.htm","26/04/2025","L14: Nghị quyết Đại hội đồng cổ đông thường niên năm 2025","",""
"L14","L14: Báo cáo tài chính quý 1/2025","https://vietstock.vn/2025/04/l14-bao-cao-tai-chinh-quy-1-2025-737-1298852.htm","21/04/2025","L14: Báo cáo tài chính quý 1/2025","",""
"L14","L14: Báo cáo tiến độ sử dụng vốn thu được từ đợt chào bán chứng khoán ra công chúng","https://vietstock.vn/2025/04/l14-bao-cao-tien-do-su-dung-von-thu-duoc-tu-dot-chao-ban-chung-khoan-ra-cong-chung-739-1296921.htm","17/04/2025","L14: Báo cáo tiến độ sử dụng vốn thu được từ đợt chào bán chứng khoán ra công chúng
.","",""
"L14","L14: Tài liệu họp Đại hội đồng cổ đông","https://vietstock.vn/2025/04/l14-tai-lieu-hop-dai-hoi-dong-co-dong-737-1291683.htm","04/04/2025","L14: Tài liệu họp Đại hội đồng cổ đông","",""
"L14","L14: Báo cáo thường niên 2024","https://vietstock.vn/2025/04/l14-bao-cao-thuong-nien-2024-737-1288854.htm","01/04/2025","L14: Báo cáo thường niên 2024","",""
"L14","L14: Giải trình liên quan đến Báo cáo tài chính tổng hợp năm 2024","https://vietstock.vn/2025/03/l14-giai-trinh-lien-quan-den-bao-cao-tai-chinh-tong-hop-nam-2024-737-1283803.htm","20/03/2025","L14: Giải trình liên quan đến Báo cáo tài chính tổng hợp năm 2024
.","",""
"L14","L14: Báo cáo tài chính năm 2024","https://vietstock.vn/2025/03/l14-bao-cao-tai-chinh-nam-2024-737-1283802.htm","20/03/2025","L14: Báo cáo tài chính năm 2024","",""
"L14","L14: Ngày đăng ký cuối cùng Đại hội đồng cổ đông thường niên năm 2025","https://vietstock.vn/2025/03/l14-ngay-dang-ky-cuoi-cung-dai-hoi-dong-co-dong-thuong-nien-nam-2025-737-1281292.htm","13/03/2025","L14: Ngày đăng ký cuối cùng Đại hội đồng cổ đông thường niên năm 2025
Thông báo ngày đăng ký cuối cùng lập danh sách cổ đông đối với cổ phiếuL14của CTCP Licogi 14 như sau:1. Ngày đăng ký cuối cùng: 27/03/20252. Ngày giao dịch không hưởng quyền: 26/03/20253. Lý do và mục đích:* Đại hội đồng cổ đông thường niên năm 2025- Tỷ lệ phân bổ quyền: 01 cổ phiếu – 01 quyền biểu quyết- Thời gian họp: Dự kiến ngày 24/04/2025- Địa điểm tổ chức họp: Sẽ được thông báo tới cổ đông trong thư mời họp- Nội dung họp: Các nội dung thuộc thẩm quyền của Đại hội đồng cổ đông thường niên theo quy định của pháp luật","",""
"L14","Licogi 14 dồn lực giải phóng mặt bằng dự án Nam Minh Phương, đặt mục tiêu lãi 20 tỷ đồng năm 2025","https://vietstock.vn/2025/03/licogi-14-don-luc-giai-phong-mat-bang-du-an-nam-minh-phuong-dat-muc-tieu-lai-20-ty-dong-nam-2025-737-1280113.htm","11/03/2025","Licogi 14 dồn lực giải phóng mặt bằng dự án Nam Minh Phương, đặt mục tiêu lãi 20 tỷ đồng năm 2025
CTCP Licogi 14 (HNX:L14) vừa công bố nghị quyết HĐQT với kế hoạch tập trung hoàn tất giải phóng mặt bằng dự án khu đô thị Nam Minh Phương trong năm 2025, đồng thời đặt mục tiêu lợi nhuận sau thuế đạt 20 tỷ đồng.
Dự án khu đô thị Nam Minh Phương có quy mô hơn 54 ha tại phường Minh Phương và phường Minh Nông, thành phố Việt Trì, tỉnh Phú Thọ. Theo nghị quyết mới công bố, Licogi 14 dự kiến chi trả thêm 133 tỷ đồng trong năm 2025 để hoàn tất công tác giải phóng mặt bằng, sau khi đã chi 130 tỷ đồng.
Licogi 14 trúng thầu khu đô thị từ năm 2020 với tổng chi phí thực hiện khoảng 2,890 tỷ đồng (chưa bao gồm chi phí bồi thường, giải phóng mặt bằng). Khu đô thị sẽ bao gồm biệt thự, nhà liền kề, nhà vườn, nhà chung cư (bao gồm nhà ở xã hội), cùng các tiện ích như nhà văn hóa, trường học, khu thương mại và công viên.
Với thời gian thực hiện dự án 5 năm, Ban lãnh đạo Công ty cho biết đang nỗ lực ""quyết liệt hàng ngày, hàng tuần"" phối hợp cùng chính quyền địa phương giải quyết vấn đề đền bù, tái định cư để sớm khởi công và thi công dự án ngay trong năm nay.
[Chú thích ảnh]: Phối cảnh nhà ở thương mại trong khu đô thị Nam Minh Phương. Nguồn: Licogi 14
Song song với dự án trọng điểm trên, Licogi 14 cũng tiếp tục triển khai các dự án khác như Trung tâm thương mại Minh Phương Center Point, Nhà hàng và Trung tâm tổ chức sự kiện Cảnh Hồ Minh Phương. Công ty còn lên kế hoạch khảo sát, đánh giá hiệu quả để tham gia đấu giá quyền sử dụng đất quy mô 6-10 ha tại các khu vực trong tỉnh Phú Thọ và các tỉnh lân cận như Yên Bái, Tuyên Quang.
Về kế hoạch kinh doanh năm 2025, Licogi 14 đặt mục tiêu tổng doanh thu đạt 150 tỷ đồng, đi ngang so với thực hiện 2024. Lợi nhuận sau thuế 20 tỷ đồng, tăng 16% nhưng vẫn thấp hơn đáng kể so với giai đoạn đỉnh 2017-2019. Công ty dự kiến chi trả cổ tức với tỷ lệ 5%.
Chiến lược kinh doanh của Licogi 14 trong năm nay vẫn sẽ được triển khai trên nhiều mảng. Trong lĩnh vực đầu tư tài chính, Công ty nhận định năm 2025 sẽ có nhiều yếu tố thuận lợi như tăng trưởng GDP dự kiến trên 8%, tăng trưởng tín dụng 16%, và nỗ lực nâng hạng thị trường chứng khoán. Với những điều kiện này, Licogi 14 đặt mục tiêu doanh thu hoạt động tài chính đạt 20 tỷ đồng.
Đối với mảng kinh doanh bất động sản, Doanh nghiệp dự kiến thu về khoảng 20 tỷ đồng từ việc bán các vị trí đất còn lại tại dự án Nam Minh Phương. Ban Lãnh đạo cho biết sẽ điều chỉnh giá linh hoạt và tạo cơ chế thuận lợi để đẩy nhanh việc thu hồi vốn đầu tư.
Về lĩnh vực thi công xây lắp, Licogi 14 tiếp tục triển khai các công trình đang dở dang như đường cao tốc Tuyên Quang - Hà Giang, đường kết nối Mù Cang Chải với cao tốc Nội Bài - Lào Cai, và cầu vượt đường sắt An Bình (Yên Bái).
Năm 2024,Licogi 14 đạt tổng doanh thu 151 tỷ đồng, lợi nhuận sau thuế hơn 17 tỷ đồng, đều không đạt mục tiêu đề ra. Một phần nguyên nhân do danh mục cổ phiếu bất động sản giảm sâu, khiến doanh thu tài chính không đạt kỳ vọng.
Theo BCTC soát xét bán niên 2024, các cổ phiếu chiếm tỷ trọng lớn trong danh mục đầu tư của Licogi 14 gồm 1.1 triệu cpNVLvới giá gốc 18.6 tỷ đồng, 600 ngàn cpDIGcó giá 18 tỷ đồng và 486 ngàn cpPDRgiá 12.7 tỷ đồng. Nếu vẫn giữ đến cuối năm, các cổ phiếu này đã giảm 1/3 giá trị.
Licogi 14 cũng công bố kế hoạch tổ chức ĐHĐCĐ thường niên 2025 vào ngày 24/04, với ngày đăng ký cuối cùng chốt danh sách cổ đông là 27/03.
*Thiếu vốn, L14 dự kiến không trả cổ tức 2023","Tử Kính","13:11 11/03/2025"
"L14","L14: Nghị quyết Hội đồng quản trị","https://vietstock.vn/2025/03/l14-nghi-quyet-hoi-dong-quan-tri-737-1279650.htm","10/03/2025","L14: Nghị quyết Hội đồng quản trị
.","",""
